Event	Block	Trial	StimNum	SlideNum	WordStr	Time	Sentence_type	Condition	Viol_on_slide
GrandStart	0	0	0	0	 	1569487881.2451	
BlockStart	1	0	0	0	 	1569487885.0183	
FIX_ON	1	1	0	-	+	1569487885.0384	Sentence_Type	condition	slide	
WORD_ON	1	1	0	1	Sentence	1569487885.6551	Sentence_Type	condition	slide	
WORD_OFF	1	1	0	1	 	1569487885.9051	Sentence_Type	condition	slide	
FIX2PANEL_ON	1	1	-	-	+	1569487886.1551	Sentence_Type	condition	slide	
FIX2PANEL_OFF	1	1	-	-	 	1569487886.6384	Sentence_Type	condition	slide	
PanelOn	1	1	-	-	 	1569487886.6551	Sentence_Type	condition	slide	
PanelOff	1	1	-	-		1569487888.1718	Sentence_Type	condition	slide	
PANEL_ON	1	1	-	-	 	1569487888.1885	Sentence_Type	condition	slide	
PANEL_OFF	1	1	-	-	 	1569487888.2051	Sentence_Type	condition	slide	
END_TRIAL	1	1	-	-	WRONG	0	Sentence_Type	condition	slide	
FIX_ON	1	2	0	-	+	1569487889.2385	objrel_that	SS	4	
WORD_ON	1	2	0	1	la	1569487889.8552	objrel_that	SS	4	
WORD_OFF	1	2	0	1	 	1569487890.1052	objrel_that	SS	4	
WORD_ON	1	2	0	2	contadina	1569487890.3552	objrel_that	SS	4	
WORD_OFF	1	2	0	2	 	1569487890.6052	objrel_that	SS	4	
WORD_ON	1	2	0	3	che	1569487890.8552	objrel_that	SS	4	
WORD_OFF	1	2	0	3	 	1569487891.1052	objrel_that	SS	4	
WORD_ON	1	2	0	4	la	1569487891.3552	objrel_that	SS	4	
WORD_OFF	1	2	0	4	 	1569487891.6052	objrel_that	SS	4	
WORD_ON	1	2	0	5	madre	1569487891.8552	objrel_that	SS	4	
WORD_OFF	1	2	0	5	 	1569487892.1052	objrel_that	SS	4	
WORD_ON	1	2	0	6	bloccano	1569487892.3552	objrel_that	SS	4	
WORD_OFF	1	2	0	6	 	1569487892.6052	objrel_that	SS	4	
WORD_ON	1	2	0	7	ferma	1569487892.8552	objrel_that	SS	4	
WORD_OFF	1	2	0	7	 	1569487893.1052	objrel_that	SS	4	
WORD_ON	1	2	0	8	le	1569487893.3552	objrel_that	SS	4	
WORD_OFF	1	2	0	8	 	1569487893.6052	objrel_that	SS	4	
WORD_ON	1	2	0	9	sorelle	1569487893.8552	objrel_that	SS	4	
WORD_OFF	1	2	0	9	 	1569487894.1052	objrel_that	SS	4	
FIX2PANEL_ON	1	2	-	-	+	1569487894.3552	objrel_that	SS	4	
FIX2PANEL_OFF	1	2	-	-	 	1569487894.8385	objrel_that	SS	4	
PanelOn	1	2	-	-	 	1569487894.8552	objrel_that	SS	4	
PanelOff	1	2	-	-	ACCEPTABLE	1569487895.1885	objrel_that	SS	4	
PANEL_ON	1	2	-	-	 	1569487895.2052	objrel_that	SS	4	
PANEL_OFF	1	2	-	-	 	1569487895.2219	objrel_that	SS	4	
END_TRIAL	1	2	-	-	WRONG	0	objrel_that	SS	4	
FIX_ON	1	3	0	-	+	1569487896.2552	objrel_that	SP	4	
WORD_ON	1	3	0	1	l'	1569487896.8719	objrel_that	SP	4	
WORD_OFF	1	3	0	1	 	1569487897.1219	objrel_that	SP	4	
WORD_ON	1	3	0	2	amica	1569487897.3719	objrel_that	SP	4	
WORD_OFF	1	3	0	2	 	1569487897.6219	objrel_that	SP	4	
WORD_ON	1	3	0	3	che	1569487897.8719	objrel_that	SP	4	
WORD_OFF	1	3	0	3	 	1569487898.1219	objrel_that	SP	4	
WORD_ON	1	3	0	4	le	1569487898.3719	objrel_that	SP	4	
WORD_OFF	1	3	0	4	 	1569487898.6219	objrel_that	SP	4	
WORD_ON	1	3	0	5	contadine	1569487898.8719	objrel_that	SP	4	
WORD_OFF	1	3	0	5	 	1569487899.1219	objrel_that	SP	4	
WORD_ON	1	3	0	6	incontra	1569487899.3719	objrel_that	SP	4	
WORD_OFF	1	3	0	6	 	1569487899.6219	objrel_that	SP	4	
WORD_ON	1	3	0	7	ignora	1569487899.8719	objrel_that	SP	4	
WORD_OFF	1	3	0	7	 	1569487900.1219	objrel_that	SP	4	
WORD_ON	1	3	0	8	lo	1569487900.3719	objrel_that	SP	4	
WORD_OFF	1	3	0	8	 	1569487900.6219	objrel_that	SP	4	
WORD_ON	1	3	0	9	studente	1569487900.8719	objrel_that	SP	4	
WORD_OFF	1	3	0	9	 	1569487901.122	objrel_that	SP	4	
FIX2PANEL_ON	1	3	-	-	+	1569487901.372	objrel_that	SP	4	
FIX2PANEL_OFF	1	3	-	-	 	1569487901.8553	objrel_that	SP	4	
PanelOn	1	3	-	-	 	1569487901.872	objrel_that	SP	4	
PanelOff	1	3	-	-	ACCEPTABLE	1569487902.3053	objrel_that	SP	4	
PANEL_ON	1	3	-	-	 	1569487902.322	objrel_that	SP	4	
PANEL_OFF	1	3	-	-	 	1569487902.3386	objrel_that	SP	4	
END_TRIAL	1	3	-	-	WRONG	0	objrel_that	SP	4	
FIX_ON	1	4	0	-	+	1569487903.372	objrel_that	PP	4	
WORD_ON	1	4	0	1	i	1569487903.9887	objrel_that	PP	4	
WORD_OFF	1	4	0	1	 	1569487904.2387	objrel_that	PP	4	
WORD_ON	1	4	0	2	contadini	1569487904.4887	objrel_that	PP	4	
WORD_OFF	1	4	0	2	 	1569487904.7387	objrel_that	PP	4	
WORD_ON	1	4	0	3	che	1569487904.9887	objrel_that	PP	4	
WORD_OFF	1	4	0	3	 	1569487905.2387	objrel_that	PP	4	
WORD_ON	1	4	0	4	le	1569487905.4887	objrel_that	PP	4	
WORD_OFF	1	4	0	4	 	1569487905.7387	objrel_that	PP	4	
WORD_ON	1	4	0	5	donne	1569487905.9887	objrel_that	PP	4	
WORD_OFF	1	4	0	5	 	1569487906.2387	objrel_that	PP	4	
WORD_ON	1	4	0	6	ignora	1569487906.4887	objrel_that	PP	4	
WORD_OFF	1	4	0	6	 	1569487906.7387	objrel_that	PP	4	
WORD_ON	1	4	0	7	indicano	1569487906.9887	objrel_that	PP	4	
WORD_OFF	1	4	0	7	 	1569487907.2387	objrel_that	PP	4	
WORD_ON	1	4	0	8	i	1569487907.4887	objrel_that	PP	4	
WORD_OFF	1	4	0	8	 	1569487907.7387	objrel_that	PP	4	
WORD_ON	1	4	0	9	figli	1569487907.9887	objrel_that	PP	4	
WORD_OFF	1	4	0	9	 	1569487908.2387	objrel_that	PP	4	
FIX2PANEL_ON	1	4	-	-	+	1569487908.4887	objrel_that	PP	4	
FIX2PANEL_OFF	1	4	-	-	 	1569487908.9721	objrel_that	PP	4	
PanelOn	1	4	-	-	 	1569487908.9887	objrel_that	PP	4	
PanelOff	1	4	-	-	ACCEPTABLE	1569487909.3887	objrel_that	PP	4	
PANEL_ON	1	4	-	-	 	1569487909.4054	objrel_that	PP	4	
PANEL_OFF	1	4	-	-	 	1569487909.4221	objrel_that	PP	4	
END_TRIAL	1	4	-	-	WRONG	0	objrel_that	PP	4	
FIX_ON	1	5	0	-	+	1569487910.4554	objrel_that	PS	4	
WORD_ON	1	5	0	1	le	1569487911.0721	objrel_that	PS	4	
WORD_OFF	1	5	0	1	 	1569487911.3221	objrel_that	PS	4	
WORD_ON	1	5	0	2	bambine	1569487911.5721	objrel_that	PS	4	
WORD_OFF	1	5	0	2	 	1569487911.8221	objrel_that	PS	4	
