Event	Block	Trial	StimNum	SlideNum	WordStr	Time	Sentence_type	Condition	Viol_on_slide
BlockStart	0	0	0	0	 	1570090893.6314	
FIX_ON	0	1	0	-	+	1570090893.6351	embedding_mental	SSS	-7	
WORD_ON	0	1	0	1	il bambino	1570090894.2413	embedding_mental	SSS	-7	
WORD_ON	0	1	0	2	ricorda	1570090894.7266	embedding_mental	SSS	-7	
WORD_ON	0	1	0	3	che	1570090895.2112	embedding_mental	SSS	-7	
WORD_ON	0	1	0	4	l' amica	1570090895.696	embedding_mental	SSS	-7	
WORD_ON	0	1	0	5	vicino	1570090896.1835	embedding_mental	SSS	-7	
WORD_ON	0	1	0	6	alla ragazza	1570090896.6682	embedding_mental	SSS	-7	
WORD_ON	0	1	0	7	attrarre	1570090897.1498	embedding_mental	SSS	-7	
WORD_ON	0	1	0	8	le figlie	1570090897.6317	embedding_mental	SSS	-7	
FIX2PANEL_ON	0	1	-	-	+	1570090898.1137	embedding_mental	SSS	-7	
PanelOn	0	1	-	-	 	1570090898.8957	embedding_mental	SSS	-7	
PanelResp	0	1	-	-		0	embedding_mental	SSS	-7	
FeedbackOn	0	1	-	-	 	1570090901.898	embedding_mental	SSS	-7	
FeedbackOff	0	1	-	-	 	1570090902.9194	embedding_mental	SSS	-7	
END_TRIAL	0	1	-	-	WRONG_DDC	0	embedding_mental	SSS	-7	
FIX_ON	0	2	0	-	+	1570090902.9258	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	1	la ragazza	1570090903.5294	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	2	che	1570090904.0127	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	3	le sorelle	1570090904.4964	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	4	davanti	1570090904.9804	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	5	alle bambine	1570090905.4646	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	6	contadina	1570090905.9493	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	7	ricorda	1570090906.4332	objrel_nounpp	SPP	-7	
WORD_ON	0	2	0	8	i figli	1570090906.9173	objrel_nounpp	SPP	-7	
FIX2PANEL_ON	0	2	-	-	+	1570090907.4016	objrel_nounpp	SPP	-7	
PanelOn	0	2	-	-	 	1570090908.1873	objrel_nounpp	SPP	-7	
