Event	Block	Trial	StimNum	SlideNum	WordStr	Time	Sentence_type	Condition	Viol_on_slide
BlockStart	0	0	0	0	 	1570037490.2404	
FIX_ON	0	1	0	-	+	1570037490.2439	embedding_mental	SSS	-7	
WORD_ON	0	1	0	1	il bambino	1570037490.8606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	1	 	1570037491.1106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	2	ricorda	1570037491.3606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	2	 	1570037491.6106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	3	che	1570037491.8606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	3	 	1570037492.1106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	4	l' amica	1570037492.3606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	4	 	1570037492.6106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	5	vicino	1570037492.8606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	5	 	1570037493.1106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	6	alla ragazza	1570037493.3606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	6	 	1570037493.6106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	7	attrarre	1570037493.8606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	7	 	1570037494.1106	embedding_mental	SSS	-7	
WORD_ON	0	1	0	8	le figlie	1570037494.3606	embedding_mental	SSS	-7	
WORD_OFF	0	1	0	8	 	1570037494.6106	embedding_mental	SSS	-7	
FIX2PANEL_ON	0	1	-	-	+	1570037494.8606	embedding_mental	SSS	-7	
PanelOn	0	1	-	-	 	1570037495.3606	embedding_mental	SSS	-7	
PanelResp	0	1	-	-	VIOLATION	1.7001	embedding_mental	SSS	-7	
