Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_nounpp,l'_uomo che i_fratelli dietro al_figlio interrompono difende la_studentessa,masculine,singular,masculine,plural,masculine,singular,1526,NaN,interrompe,difendono,NaN,NaN,acceptable,1526,SPS,0,NaN,NaN,1,uomo,fratelli,figlio,interrompono,difende,studentessa,7.88181078410487,8,objrel_nounpp_______SPS
objrel_nounpp,gli_uomini che i_bambini dietro all'_amica conoscono bloccano le_figlie,masculine,plural,masculine,plural,feminine,singular,3176,NaN,conosce,blocca,NaN,NaN,acceptable,3176,PPS,0,NaN,NaN,2,uomini,bambini,amica,conoscono,bloccano,figlie,8.33643901889323,6.83333333333333,objrel_nounpp_______PPS
objrel_nounpp,il_fratello che la_donna accanto ai_bambini accolgono ferma lo_studente,masculine,singular,feminine,singular,masculine,plural,3426,accolgono,accolgono,fermano,V1,accoglie,num_violation,239,SSP,7,NaN,NaN,4,fratello,donna,bambini,accolgono,ferma,studente,8.58775800400112,7,objrel_nounpp_______SSP
objrel_nounpp,l'_amico che il_fratello davanti al_contadino evita uomo i_padri,masculine,singular,masculine,singular,masculine,singular,4008,uomo,evitano,incontrano,V2,incontra,verb_noun,7910,SSS,-8,NaN,NaN,3,amico,fratello,contadino,evita,uomo,padri,8.83419453366171,6,objrel_nounpp_______SSS
embedding_mental,le_sorelle dichiarano che i_bambini davanti ai_padri bloccare la_contadina,feminine,plural,masculine,plural,masculine,plural,680,bloccare,dichiara,blocca,V2,bloccano,infinitive,851,PPP,-7,NaN,NaN,4,sorelle,dichiarano,bambini,padri,bloccare,contadina,6.91124781933368,7.66666666666667,embedding_mental____PPP
embedding_mental,la_donna dice che gli_amici vicino alla_bambina bloccano la_studentessa,feminine,singular,masculine,plural,feminine,singular,1334,NaN,dicono,blocca,NaN,NaN,acceptable,1334,SPS,0,NaN,NaN,4,donna,dice,amici,bambina,bloccano,studentessa,8.89172248471885,6.66666666666667,embedding_mental____SPS
objrel_that,le_ragazze che le_bambine difendono guarda l'_attore,feminine,plural,feminine,plural,NaN,NaN,188,guarda,difende,guarda,V2,guardano,num_violation,4348,PP,5,NaN,NaN,2,ragazze,bambine,difendono,guarda,attore,,8.1246633473722,7,objrel_that_________PP
objrel_nounpp,i_bambini che i_contadini accanto alla_studentessa attraggono ricordano il_figlio,masculine,plural,masculine,plural,feminine,singular,3220,NaN,attrae,ricorda,NaN,NaN,acceptable,3220,PPS,0,NaN,NaN,1,bambini,contadini,studentessa,attraggono,ricordano,figlio,7.57993133909545,8.66666666666667,objrel_nounpp_______PPS
objrel_nounpp,l'_amico che il_salto accanto agli_uomini ferma evita la_ragazza,masculine,singular,feminine,singular,masculine,plural,3452,salto,fermano,evitano,N2,lastudentessa,abstract,9360,SSP,-3,NaN,NaN,1,amico,salto,uomini,ferma,evita,ragazza,9.25457299314953,5.5,objrel_nounpp_______SSP
embedding_mental,le_sorelle dicono che lo_studente dietro al_padre salutano le_ragazze,feminine,plural,masculine,singular,masculine,singular,1003,salutano,dice,salutano,V2,saluta,num_violation,3850,PSS,7,NaN,NaN,5,sorelle,dicono,studente,padre,salutano,ragazze,8.4767886128818,6.83333333333333,embedding_mental____PSS
objrel_nounpp,gli_attori che i_ragazzi davanti agli_amici ricordano ignorano le_bambine,masculine,plural,masculine,plural,masculine,plural,3095,NaN,ricorda,ignora,NaN,NaN,acceptable,3095,PPP,0,NaN,NaN,5,attori,ragazzi,amici,ricordano,ignorano,bambine,7.8454741175019,7,objrel_nounpp_______PPP
objrel_that,le_attrici che i_fratelli attraggono amano le_contadine,feminine,plural,masculine,plural,NaN,NaN,3563,NaN,attrae,ama,NaN,NaN,acceptable,3563,PP,0,NaN,NaN,1,attrici,fratelli,attraggono,amano,contadine,,5.93907380214508,7.8,objrel_that_________PP
objrel_that,i_ragazzi che gli_studenti ignora accolgono i_figli,masculine,plural,masculine,plural,NaN,NaN,2737,ignora,ignora,accoglie,V1,ignorano,num_violation,4903,PP,4,NaN,NaN,2,ragazzi,studenti,ignora,accolgono,figli,,7.67653693528948,7,objrel_that_________PP
objrel_nounpp,lo_studente che le_amiche davanti alle_figlie interrompono bloccano l'_attore,masculine,singular,feminine,plural,feminine,plural,3083,bloccano,interrompe,bloccano,V2,blocca,num_violation,1851,SPP,8,NaN,NaN,1,studente,amiche,figlie,interrompono,bloccano,attore,6.68067035887485,7.66666666666667,objrel_nounpp_______SPP
objrel_that,le_sorelle che le_amiche osserva amano i_fratelli,feminine,plural,feminine,plural,NaN,NaN,202,osserva,osserva,ama,V1,osservano,num_violation,6769,PP,4,NaN,NaN,4,sorelle,amiche,osserva,amano,fratelli,,7.71287384544308,6.6,objrel_that_________PP
objrel_nounpp,le_contadine che gli_studenti davanti all'_amica indicano ama gli_attori,feminine,plural,masculine,plural,feminine,singular,580,ama,indica,ama,V2,amano,num_violation,661,PPS,8,NaN,NaN,1,contadine,studenti,amica,indicano,ama,attori,7.33805873515951,6.5,objrel_nounpp_______PPS
embedding_mental_SR,la_sorella ricorda che l'_amico conosco la_ragazza,feminine,singular,masculine,singular,NaN,NaN,1968,conosco,ricordano,conoscono,V2,conosce,wrong_person,1255,SS,-5,NaN,NaN,2,sorella,ricorda,amico,conosco,ragazza,,10.1649301753142,6.6,embedding_mental_SR_SS
objrel_nounpp,le_ragazze che l'_uomo dietro alle_attrici fermano amano il_figlio,feminine,plural,masculine,singular,feminine,plural,805,fermano,fermano,ama,V1,ferma,num_violation,4049,PSP,7,NaN,NaN,3,ragazze,uomo,attrici,fermano,amano,figlio,8.50079222792604,6,objrel_nounpp_______PSP
embedding_mental_SR,la_figlia ricorda che la_donna ferma le_madri,feminine,singular,feminine,singular,NaN,NaN,746,NaN,ricordano,fermano,NaN,NaN,acceptable,746,SS,0,NaN,NaN,1,figlia,ricorda,donna,ferma,madri,,9.19359143037232,5.6,embedding_mental_SR_SS
objrel_nounpp,le_madri che il_figlio dietro alle_attrici ignora conosciamo il_ragazzo,feminine,plural,masculine,singular,feminine,plural,797,conosciamo,ignorano,conosce,V2,conoscono,wrong_person,2104,PSP,-8,NaN,NaN,5,madri,figlio,attrici,ignora,conosciamo,ragazzo,8.03357789163977,6.83333333333333,objrel_nounpp_______PSP
objrel_that,la_matita che l'_attore difende conosce la_bambina,feminine,singular,masculine,singular,NaN,NaN,1761,matita,difendono,conoscono,N1,l' amica,inanimate,2953,SS,-1,NaN,NaN,3,matita,attore,difende,conosce,bambina,,7.64915413127428,6.6,objrel_that_________SS
objrel_nounpp,i_bambini che i_dolori vicino alle_contadine attraggono amano lo_studente,masculine,plural,masculine,plural,feminine,plural,2537,dolori,attrae,ama,N2,gliattori,abstract,4538,PPP,-3,NaN,NaN,3,bambini,dolori,contadine,attraggono,amano,studente,6.67736125601168,7.5,objrel_nounpp_______PPP
objrel_nounpp,la_studentessa che gli_uomini davanti ai_ragazzi ignorano ama i_bambini,feminine,singular,masculine,plural,masculine,plural,1915,NaN,ignora,amano,NaN,NaN,acceptable,1915,SPP,0,NaN,NaN,1,studentessa,uomini,ragazzi,ignorano,ama,bambini,8.61991762586693,7,objrel_nounpp_______SPP
objrel_nounpp,il_quaderno che gli_attori dietro ai_fratelli conoscono ignora gli_amici,masculine,singular,masculine,plural,masculine,plural,3683,quaderno,conosce,ignorano,N1,il ragazzo,inanimate,5377,SPP,-1,NaN,NaN,1,quaderno,attori,fratelli,conoscono,ignora,amici,7.57951750260813,7,objrel_nounpp_______SPP
objrel_nounpp,le_donne che gli_studenti dietro alle_madri incontrano difendono le_ragazze,feminine,plural,masculine,plural,feminine,plural,3724,NaN,incontra,difende,NaN,NaN,acceptable,3724,PPP,0,NaN,NaN,4,donne,studenti,madri,incontrano,difendono,ragazze,7.60011008186331,7.33333333333333,objrel_nounpp_______PPP
