Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
gli_amici che la_sorella accanto ai_figli blocca fermare il_padre,objrel_nounpp,PSP,-8,V2,infinitive
le_amiche che le_madri dietro ai_contadini evitano indicano il_bambino,objrel_nounpp,PPP,0,NaN,acceptable
l'_amico che il_bambino dietro alle_donne ignora incontra i_padri,objrel_nounpp,SSP,0,NaN,acceptable
le_contadine che la_sorella dietro alle_attrici blocca ricordano il_figlio,objrel_nounpp,PSP,0,NaN,acceptable
i_bambini dichiarano che i_ragazzi davanti all'_amica osservano la_figlia,embedding_mental,PPS,0,NaN,acceptable
le_figlie ricordano che il_padre accanto ai_bambini conosce gli_uomini,embedding_mental,PSP,0,NaN,acceptable
l'_attore che il_ragazzo accanto alle_madri indica guarda il_figlio,objrel_nounpp,SSP,0,NaN,acceptable
l'_uomo che l'_amica accoglie incontra i_padri,objrel_that,SS,0,NaN,acceptable
la_madre che la_penna davanti alla_ragazza evitano ricorda il_fratello,objrel_nounpp,SPS,-3,N2,inanimate
la_madre che l'_uomo dietro alle_bambine evitano critica il_fratello,objrel_nounpp,SSP,7,V1,num_violation
le_attrici che le_bambine vicino alle_amiche attrarre amano i_ragazzi,objrel_nounpp,PPP,-7,V1,infinitive
gli_amici che il_figlio vicino alla_contadina guarda indicano lo_studente,objrel_nounpp,PSS,0,NaN,acceptable
gli_amici dicono che l'_attrice guarda il_ragazzo,embedding_mental_SR,PS,0,NaN,acceptable
gli_studenti che l'_amica accanto al_padre attrae ricordano il_fratello,objrel_nounpp,PSS,0,NaN,acceptable
il_ragazzo dice che l'_attore accanto alle_bambine indica il_fratello,embedding_mental,SSP,0,NaN,acceptable
i_ragazzi che le_bambine davanti allo_studente fermano donna l'_attrice,objrel_nounpp,PPS,-8,V2,verb_noun
le_studentesse ricordano che l'_attrice vicino agli_uomini accolgono la_figlia,embedding_mental,PSP,7,V2,num_violation
la_simpatia dichiara che i_ragazzi salutano l'_attrice,embedding_mental_SR,SP,-1,N1,abstract
le_studentesse che gli_attori indicano fermano i_contadini,objrel_that,PP,0,NaN,acceptable
le_amiche dicono che l'_uomo bloccare la_studentessa,embedding_mental_SR,PS,-5,V2,infinitive
la_sorella che il_bambino accanto all'_attore accolgono guarda l'_amica,objrel_nounpp,SSS,7,V1,num_violation
le_madri che l'_amica dietro alla_donna accoglie indicano i_ragazzi,objrel_nounpp,PSS,0,NaN,acceptable
il_bambino che le_attrici dietro alle_donne bloccano critico i_padri,objrel_nounpp,SPP,-8,V2,wrong_person
gli_attori ricordano che il_bambino ignorano le_figlie,embedding_mental_SR,PS,5,V2,num_violation
i_fratelli che i_bambini dietro agli_uomini osservano attraggono i_ragazzi,objrel_nounpp,PPP,0,NaN,acceptable
la_bambina dice che la_madre davanti alle_sorelle incontrano la_figlia,embedding_mental,SSP,7,V2,num_violation
le_madri che le_amiche vicino alle_contadine attraggono osserva il_padre,objrel_nounpp,PPP,8,V2,num_violation
le_figlie dichiarano che le_studentesse vicino alla_sorella bloccano la_contadina,embedding_mental,PPS,0,NaN,acceptable
la_madre dichiara che lo_studente davanti al_contadino blocca l'_amica,embedding_mental,SSS,0,NaN,acceptable
il_figlio che i_padri accanto ai_fratelli attraggono accoglie la_donna,objrel_nounpp,SPP,0,NaN,acceptable
le_amiche ricordano che le_madri difendono le_attrici,embedding_mental_SR,PP,0,NaN,acceptable
la_figlia che il_padre vicino alla_contadina guarda evita le_attrici,objrel_nounpp,SSS,0,NaN,acceptable
gli_uomini che i_padri davanti alla_figlia ignora difendono le_bambine,objrel_nounpp,PPS,7,V1,num_violation
gli_attori ricordano che la_contadina accanto alle_madri incontrare l'_uomo,embedding_mental,PSP,-7,V2,infinitive
l'_amica dice che le_madri evita i_contadini,embedding_mental_SR,SP,5,V2,num_violation
il_figlio dichiara che il_contadino accanto alle_studentesse ignora le_madri,embedding_mental,SSP,0,NaN,acceptable
la_donna che le_ragazze davanti al_padre incontrano accoglie il_bambino,objrel_nounpp,SPS,0,NaN,acceptable
le_figlie che le_donne attrae salutano gli_studenti,objrel_that,PP,4,V1,num_violation
il_figlio dice che la_bambina vicino alle_amiche amano le_donne,embedding_mental,SSP,7,V2,num_violation
gli_uomini che le_madri vicino ai_ragazzi conoscono ricordate i_padri,objrel_nounpp,PPP,-8,V2,wrong_person
le_figlie che gli_studenti vicino ai_contadini osservano ignora il_padre,objrel_nounpp,PPP,8,V2,num_violation
l'_uomo che il_padre difendere attrae la_ragazza,objrel_that,SS,-4,V1,infinitive
l'_amico che i_figli evitano osserva la_donna,objrel_that,SP,0,NaN,acceptable
le_sorelle che l'_amica davanti alle_madri indica attraggono le_studentesse,objrel_nounpp,PSP,0,NaN,acceptable
il_padre dichiara che i_contadini accanto alle_amiche criticano l'_attore,embedding_mental,SPP,0,NaN,acceptable
gli_attori dicono che la_donna studentesse l'_amico,embedding_mental_SR,PS,-5,V2,verb_noun
gli_uomini ricordano che i_contadini accanto alle_attrici salutano le_studentesse,embedding_mental,PPP,0,NaN,acceptable
il_bambino che i_figli davanti alle_madri accogliete incontra la_studentessa,objrel_nounpp,SPP,-7,V1,wrong_person
i_ragazzi che i_fratelli davanti ai_bambini ignorano difendono l'_attrice,objrel_nounpp,PPP,0,NaN,acceptable
i_figli che la_madre dietro ai_bambini ignora attrarre i_contadini,objrel_nounpp,PSP,-8,V2,infinitive
le_figlie che la_madre fermano ricordano gli_uomini,objrel_that,PS,4,V1,num_violation
la_studentessa dichiara che l'_attrice guarda i_bambini,embedding_mental_SR,SS,0,NaN,acceptable
la_contadina che i_ragazzi davanti agli_amici conoscono incontra il_padre,objrel_nounpp,SPP,0,NaN,acceptable
gli_uomini dicono che i_contadini dietro ai_padri evita le_sorelle,embedding_mental,PPP,7,V2,num_violation
gli_studenti ricordano che la_madre davanti alle_figlie critica le_donne,embedding_mental,PSP,0,NaN,acceptable
i_figli che i_fratelli davanti agli_amici difendono accogliete lo_studente,objrel_nounpp,PPP,-8,V2,wrong_person
l'_uomo che il_fratello amano saluta il_padre,objrel_that,SS,4,V1,num_violation
le_donne dichiarano che la_ragazza davanti alla_sorella osserva la_bambina,embedding_mental,PSS,0,NaN,acceptable
il_contadino che gli_attori dietro ai_ragazzi ignorare critica il_figlio,objrel_nounpp,SPP,-7,V1,infinitive
