Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
l'_uomo che i_fratelli dietro al_figlio interrompono difende la_studentessa,objrel_nounpp,SPS,0,NaN,acceptable
gli_uomini che i_bambini dietro all'_amica conoscono bloccano le_figlie,objrel_nounpp,PPS,0,NaN,acceptable
il_fratello che la_donna accanto ai_bambini accolgono ferma lo_studente,objrel_nounpp,SSP,7,V1,num_violation
l'_amico che il_fratello davanti al_contadino evita uomo i_padri,objrel_nounpp,SSS,-8,V2,verb_noun
le_sorelle dichiarano che i_bambini davanti ai_padri bloccare la_contadina,embedding_mental,PPP,-7,V2,infinitive
la_donna dice che gli_amici vicino alla_bambina bloccano la_studentessa,embedding_mental,SPS,0,NaN,acceptable
le_ragazze che le_bambine difendono guarda l'_attore,objrel_that,PP,5,V2,num_violation
i_bambini che i_contadini accanto alla_studentessa attraggono ricordano il_figlio,objrel_nounpp,PPS,0,NaN,acceptable
l'_amico che il_salto accanto agli_uomini ferma evita la_ragazza,objrel_nounpp,SSP,-3,N2,abstract
le_sorelle dicono che lo_studente dietro al_padre salutano le_ragazze,embedding_mental,PSS,7,V2,num_violation
gli_attori che i_ragazzi davanti agli_amici ricordano ignorano le_bambine,objrel_nounpp,PPP,0,NaN,acceptable
le_attrici che i_fratelli attraggono amano le_contadine,objrel_that,PP,0,NaN,acceptable
i_ragazzi che gli_studenti ignora accolgono i_figli,objrel_that,PP,4,V1,num_violation
lo_studente che le_amiche davanti alle_figlie interrompono bloccano l'_attore,objrel_nounpp,SPP,8,V2,num_violation
le_sorelle che le_amiche osserva amano i_fratelli,objrel_that,PP,4,V1,num_violation
le_contadine che gli_studenti davanti all'_amica indicano ama gli_attori,objrel_nounpp,PPS,8,V2,num_violation
la_sorella ricorda che l'_amico conosco la_ragazza,embedding_mental_SR,SS,-5,V2,wrong_person
le_ragazze che l'_uomo dietro alle_attrici fermano amano il_figlio,objrel_nounpp,PSP,7,V1,num_violation
la_figlia ricorda che la_donna ferma le_madri,embedding_mental_SR,SS,0,NaN,acceptable
le_madri che il_figlio dietro alle_attrici ignora conosciamo il_ragazzo,objrel_nounpp,PSP,-8,V2,wrong_person
la_matita che l'_attore difende conosce la_bambina,objrel_that,SS,-1,N1,inanimate
i_bambini che i_dolori vicino alle_contadine attraggono amano lo_studente,objrel_nounpp,PPP,-3,N2,abstract
la_studentessa che gli_uomini davanti ai_ragazzi ignorano ama i_bambini,objrel_nounpp,SPP,0,NaN,acceptable
il_quaderno che gli_attori dietro ai_fratelli conoscono ignora gli_amici,objrel_nounpp,SPP,-1,N1,inanimate
le_donne che gli_studenti dietro alle_madri incontrano difendono le_ragazze,objrel_nounpp,PPP,0,NaN,acceptable
la_ragazza che il_figlio accanto all'_amica incontra interrompono la_madre,objrel_nounpp,SSS,8,V2,num_violation
i_padri che i_ragazzi evitano ama gli_uomini,objrel_that,PP,5,V2,num_violation
il_piacere dichiara che i_bambini difendono le_ragazze,embedding_mental_SR,SP,-1,N1,abstract
lo_studente ricorda che l'_uomo fermano le_madri,embedding_mental_SR,SS,5,V2,num_violation
l'_uomo ricorda che i_contadini dietro ai_bambini conosce il_figlio,embedding_mental,SPP,7,V2,num_violation
la_donna ricorda che la_penna accanto ai_figli interrompe il_fratello,embedding_mental,SSP,-4,N2,inanimate
le_bambine ricordano che l'_attore accanto all'_amico salutano la_ragazza,embedding_mental,PSS,7,V2,num_violation
il_fratello dice che i_padri accanto ai_figli salutano i_ragazzi,embedding_mental,SPP,0,NaN,acceptable
gli_studenti dicono che le_sorelle evita la_figlia,embedding_mental_SR,PP,5,V2,num_violation
i_fratelli che l'_attrice ragazza incontrano i_figli,objrel_that,PS,-4,V1,verb_noun
il_contadino che l'_amico ignora guarda lo_studente,objrel_that,SS,0,NaN,acceptable
le_madri dichiarano che la_donna dietro alle_contadine saluta l'_attrice,embedding_mental,PSP,0,NaN,acceptable
la_ragazza ricorda che le_contadine osservate le_studentesse,embedding_mental_SR,SP,-5,V2,wrong_person
la_contadina ricorda che l'_amica davanti allo_studente indicano i_fratelli,embedding_mental,SSS,7,V2,num_violation
il_bambino che il_ragazzo dietro ai_padri osserva conosce gli_attori,objrel_nounpp,SSP,0,NaN,acceptable
le_ragazze che la_figlia saluta ricordano l'_attrice,objrel_that,PS,0,NaN,acceptable
le_contadine che le_madri accanto agli_attori_fratelli indicano gli_uomini,objrel_nounpp,PPP,-7,V1,verb_noun
la_bambina che le_contadine conoscono bloccano l'_amica,objrel_that,SP,5,V2,num_violation
la_donna dice che le_bambine dietro alla_figlia conosce le_sorelle,embedding_mental,SPS,7,V2,num_violation
gli_attori che le_madri salutano indicano i_fratelli,objrel_that,PP,0,NaN,acceptable
lo_studente che le_bambine vicino alla_figlia bloccano accolgono le_amiche,objrel_nounpp,SPS,8,V2,num_violation
i_contadini dicono che le_figlie amano le_donne,embedding_mental_SR,PP,0,NaN,acceptable
la_donna ricorda che gli_studenti davanti ai_ragazzi difendere i_padri,embedding_mental,SPP,-7,V2,infinitive
i_fratelli che l'_amica critica difendono l'_attrice,objrel_that,PS,0,NaN,acceptable
la_penna che la_studentessa ignora incontra il_fratello,objrel_that,SS,-1,N1,inanimate
le_contadine dichiarano che i_padri difendono la_studentessa,embedding_mental_SR,PP,0,NaN,acceptable
la_donna che l'_amica critica bloccano l'_attrice,objrel_that,SS,5,V2,num_violation
l'_uomo che la_bambina davanti all'_attore difende conoscono le_figlie,objrel_nounpp,SSS,8,V2,num_violation
le_televisioni che l'_amica osserva amano le_studentesse,objrel_that,PS,-1,N1,inanimate
il_padre che l'_uomo indica incontra la_figlia,objrel_that,SS,0,NaN,acceptable
i_bambini dicono che le_madri accolgono lo_studente,embedding_mental_SR,PP,0,NaN,acceptable
i_contadini dichiarano che le_sorelle dietro alle_bambine criticano la_donna,embedding_mental,PPP,0,NaN,acceptable
gli_amici ricordano che le_contadine accanto alle_figlie osservano l'_attore,embedding_mental,PPP,0,NaN,acceptable
le_amiche dicono che la_ragazza davanti alle_studentesse indica l'_attore,embedding_mental,PSP,0,NaN,acceptable
gli_amici dichiarano che le_studentesse dietro alle_contadine ignorate l'_uomo,embedding_mental,PPP,-7,V2,wrong_person
l'_attrice ricorda che la_sorella ignorano l'_amico,embedding_mental_SR,SS,5,V2,num_violation
i_contadini ricordano che la_sorella attraggono le_madri,embedding_mental_SR,PS,5,V2,num_violation
i_dispiaceri che i_ragazzi salutano indicano gli_attori,objrel_that,PP,-1,N1,abstract
le_amiche che la_ragazza interrompe ama la_bambina,objrel_that,PS,5,V2,num_violation
le_sorelle che la_ragazza ignora interrompono la_figlia,objrel_that,PS,0,NaN,acceptable
il_bambino dichiara che le_contadine dietro all'_attrice conosce il_figlio,embedding_mental,SPS,7,V2,num_violation
le_studentesse che le_donne dietro ai_bambini ricordano guarda i_figli,objrel_nounpp,PPP,8,V2,num_violation
la_contadina che i_ragazzi davanti al_bambino osserviamo incontra il_fratello,objrel_nounpp,SPS,-7,V1,wrong_person
il_bambino che gli_attori ignora difende gli_amici,objrel_that,SP,4,V1,num_violation
le_figlie che la_donna critica bambine l'_attore,objrel_that,PS,-5,V2,verb_noun
i_contadini che il_fratello accanto all'_attore ricordano difendono l'_uomo,objrel_nounpp,PSS,7,V1,num_violation
le_amiche che i_ragazzi vicino all'_attore criticano conosce la_bambina,objrel_nounpp,PPS,8,V2,num_violation
i_figli che i_ragazzi vicino all'_amica accogliete conoscono il_padre,objrel_nounpp,PPS,-7,V1,wrong_person
gli_uomini ricordano che l'_attore dietro ai_contadini attrae la_sorella,embedding_mental,PSP,0,NaN,acceptable
il_ragazzo che i_padri dietro alla_studentessa conosce critica le_madri,objrel_nounpp,SPS,7,V1,num_violation
i_figli che la_sorella dietro alle_contadine bloccano osservano gli_amici,objrel_nounpp,PSP,7,V1,num_violation
le_ragazze che le_madri attraggono conoscono la_donna,objrel_that,PP,0,NaN,acceptable
l'_attore che il_fratello davanti alla_ragazza ricordano attrae i_contadini,objrel_nounpp,SSS,7,V1,num_violation
le_madri che la_contadina davanti al_bambino incontra salutano i_padri,objrel_nounpp,PSS,0,NaN,acceptable
i_padri che la_bambina guarda salutano la_madre,objrel_that,PS,0,NaN,acceptable
le_attrici che il_fratello guarda ignorare i_padri,objrel_that,PS,-5,V2,infinitive
il_padre che gli_amici dietro all'_uomo fermano blocca la_sorella,objrel_nounpp,SPS,0,NaN,acceptable
le_bambine ricordano che i_padri vicino ai_fratelli osservate gli_attori,embedding_mental,PPP,-7,V2,wrong_person
il_padre dice che il_fratello davanti alle_amiche accolgono le_bambine,embedding_mental,SSP,7,V2,num_violation
gli_attori dicono che la_bambina interrompere gli_studenti,embedding_mental_SR,PS,-5,V2,infinitive
i_padri che le_figlie accanto alle_bambine osservate difendono l'_attore,objrel_nounpp,PPP,-7,V1,wrong_person
le_bambine ricordano che gli_studenti accanto al_figlio ama la_donna,embedding_mental,PPS,7,V2,num_violation
gli_amici ricordano che il_bambino accanto al_padre fermano la_figlia,embedding_mental,PSS,7,V2,num_violation
i_bambini che le_donne davanti alle_sorelle incontrano conosce le_ragazze,objrel_nounpp,PPP,8,V2,num_violation
lo_studente che il_dolore dietro alle_contadine attrae difende le_donne,objrel_nounpp,SSP,-3,N2,abstract
gli_uomini che lo_studente dietro alle_contadine conosce attraggono le_ragazze,objrel_nounpp,PSP,0,NaN,acceptable
la_bambina dichiara che l'_uomo vicino alle_amiche attrae i_fratelli,embedding_mental,SSP,0,NaN,acceptable
i_bambini che le_figlie vicino alla_contadina osservano attraggono i_padri,objrel_nounpp,PPS,0,NaN,acceptable
il_bambino dice che i_contadini davanti ai_fratelli critica i_ragazzi,embedding_mental,SPP,7,V2,num_violation
le_donne che il_fratello dietro alla_ragazza ricorda amico la_madre,objrel_nounpp,PSS,-8,V2,verb_noun
l'_attrice che il_fratello criticare saluta i_figli,objrel_that,SS,-4,V1,infinitive
il_bambino che il_padre dietro all'_attrice difende saluta la_sorella,objrel_nounpp,SSS,0,NaN,acceptable
l'_uomo che l'_amico indica saluta il_bambino,objrel_that,SS,0,NaN,acceptable
il_padre che le_bambine accanto alle_figlie blocca indica le_studentesse,objrel_nounpp,SPP,7,V1,num_violation
gli_amici che i_salti dietro ai_ragazzi blocca attraggono il_contadino,objrel_nounpp,PSP,-3,N2,abstract
gli_amici che il_fratello difende conoscono il_ragazzo,objrel_that,PS,0,NaN,acceptable
l'_amico dice che i_ragazzi bloccano la_donna,embedding_mental_SR,SP,0,NaN,acceptable
la_madre che gli_attori davanti all'_uomo figlia difende l'_amica,objrel_nounpp,SPS,-7,V1,verb_noun
il_contadino dice che il_padre dietro agli_studenti incontra l'_attrice,embedding_mental,SSP,0,NaN,acceptable
i_fratelli che gli_attori criticano figlie il_padre,objrel_that,PP,-5,V2,verb_noun
il_bambino che le_madri davanti alle_amiche accoglie osserva la_sorella,objrel_nounpp,SPP,7,V1,num_violation
gli_studenti che il_ragazzo davanti ai_contadini guarda accolgono il_padre,objrel_nounpp,PSP,0,NaN,acceptable
la_televisione che le_bambine accanto agli_amici salutano accoglie le_ragazze,objrel_nounpp,SPP,-1,N1,inanimate
la_figlia che le_studentesse attrae difende la_donna,objrel_that,SP,4,V1,num_violation
i_bambini ricordano che i_dolori vicino alle_studentesse interrompono l'_attore,embedding_mental,PPP,-4,N2,abstract
l'_uomo dice che la_studentessa davanti all'_attore accoglie la_donna,embedding_mental,SSS,0,NaN,acceptable
la_bambina dichiara che la_contadina dietro ai_padri amiche le_madri,embedding_mental,SSP,-7,V2,verb_noun
la_contadina dice che gli_uomini accanto alle_figlie incontrano l'_amica,embedding_mental,SPP,0,NaN,acceptable
la_donna che il_fratello difendono interrompe la_sorella,objrel_that,SS,4,V1,num_violation
gli_studenti dichiarano che il_ragazzo davanti alla_donna amo l'_amico,embedding_mental,PSS,-7,V2,wrong_person
il_figlio che la_studentessa accanto alle_donne critica attrae il_bambino,objrel_nounpp,SSP,0,NaN,acceptable
la_madre dice che l'_attrice dietro alle_studentesse guardo le_figlie,embedding_mental,SSP,-7,V2,wrong_person
l'_uomo dichiara che le_sorelle vicino all'_amica interrompe l'_attore,embedding_mental,SPS,7,V2,num_violation
gli_studenti che l'_amica accanto ai_figli interrompe salutano i_bambini,objrel_nounpp,PSP,0,NaN,acceptable
la_bambina che i_contadini guardano interrompe la_madre,objrel_that,SP,0,NaN,acceptable
gli_uomini che la_sorella accanto alle_ragazze blocca evita i_bambini,objrel_nounpp,PSP,8,V2,num_violation
le_sorelle dichiarano che il_contadino accanto ai_figli salutano l'_amica,embedding_mental,PSP,7,V2,num_violation
la_madre che le_contadine davanti alle_studentesse ignora accoglie la_figlia,objrel_nounpp,SPP,7,V1,num_violation
lo_studente che i_ragazzi accanto al_figlio incontra evita l'_attore,objrel_nounpp,SPS,7,V1,num_violation
le_figlie che la_bambina davanti ai_fratelli conosce osservano gli_amici,objrel_nounpp,PSP,0,NaN,acceptable
i_padri che la_sorella guardi fermano le_attrici,objrel_that,PS,-4,V1,wrong_person
il_contadino dichiara che la_sorella dietro alle_figlie critica le_amiche,embedding_mental,SSP,0,NaN,acceptable
il_ragazzo che il_fratello vicino alla_figlia indica conosce la_madre,objrel_nounpp,SSS,0,NaN,acceptable
lo_studente che il_fratello conosce evita gli_uomini,objrel_that,SS,0,NaN,acceptable
