UniqueConditionAggragated,FreqConditions_1,FreqConditions_2,FreqConditions_3,FreqConditions_4,FreqConditions_5,FreqConditions_6,LengthConditions_1,LengthConditions_2,LengthConditions_3,LengthConditions_4,LengthConditions_5,LengthConditions_6
embedding_mental_SR_PP,8.50557656291964,7.16085795515132,8.57707296838119,6.18435028986712,8.91794867577367,NaN,6.35294117647059,8.11764705882353,6.41176470588235,8.11764705882353,6.58823529411765,NaN
embedding_mental_SR_PS,7.48866014022033,5.97217212074524,9.67141393417504,5.91950701976639,8.7796156467817,NaN,7.28571428571429,9.14285714285714,6.64285714285714,7.21428571428571,6.85714285714286,NaN
embedding_mental_SR_SP,9.2638182424025,8.64160203005603,9.08904208422634,6.17235292131793,9.43447800353606,NaN,6.30769230769231,6.46153846153846,6.69230769230769,7.76923076923077,6.38461538461539,NaN
embedding_mental_SR_SS,8.88490074958442,9.5016547515676,10.1382027977048,7.0871440541011,8.23371263304701,NaN,6.9375,5.6875,6.125,7.5,6.6875,NaN
embedding_mental____PPP,7.7901913433731,7.13689449740721,7.8463256148683,7.66236968909959,6.50819193138358,8.49817536929928,7.53333333333333,8.2,5.86666666666667,6.93333333333333,7.86666666666667,7.46666666666667
embedding_mental____PPS,8.68246906717169,6.83898381067706,7.72415613722218,9.18881645345682,6.09953120922664,8.68787367673581,6.86666666666667,8.4,7.73333333333333,7.2,7.8,6.93333333333333
embedding_mental____PSP,8.35346493558325,6.0565547974794,8.96293769516307,7.99538709142592,6.94533966911866,8.29562724376431,6.61538461538461,9.07692307692308,6.69230769230769,6.92307692307692,7.53846153846154,7
embedding_mental____PSS,7.87194101661047,6.41096203976288,8.61103499710419,9.45374883725103,5.63845097769689,7.74355008495218,6.93333333333333,8.8,6.93333333333333,7,7.73333333333333,7.46666666666667
embedding_mental____SPP,9.23858771390841,8.18480935673228,7.86332507959047,8.03987500675045,5.5829057586803,9.24876957777912,6.82352941176471,6.94117647058824,7.05882352941176,6.94117647058824,8.82352941176471,6.47058823529412
embedding_mental____SPS,10.0150510540382,8.72379443783273,7.85686529125374,9.20686355224844,6.50039671842207,9.67191786223805,6.375,6.125,6.9375,6.875,8.125,6.125
embedding_mental____SSP,9.73402701316033,8.800540328143,9.34241412093007,8.10915104474505,5.99555713016445,7.51262741843792,6.85714285714286,6.28571428571429,7.5,7.07142857142857,7.14285714285714,7
embedding_mental____SSS,9.52245990523144,9.05329385510551,8.6960940744811,8.97978617518651,7.21853133589703,8.66797764810503,6.53333333333333,5.93333333333333,7.4,6.86666666666667,6.6,7
objrel_nounpp_______PPP,7.99487243206041,8.28771485009599,8.35398297437558,5.28772984513686,5.83652055634487,8.92426045208335,7.375,6.6875,6.375,8.125,7.9375,6.875
objrel_nounpp_______PPS,7.57781294264722,8.30846003228824,9.6298551471609,5.78717757055822,5.79951698702147,8.42955622679962,6.88888888888889,6.52777777777778,6.47222222222222,8.33333333333333,7.80555555555556,6.94444444444444
objrel_nounpp_______PSP,7.99432818118594,9.26157700265845,8.69137928928002,6.93753308226987,5.8543683743133,8.95891708665524,7.05714285714286,6.54285714285714,6.88571428571429,6.88571428571429,8.31428571428571,6.85714285714286
objrel_nounpp_______PSS,8.11075550074036,9.77698114300517,9.17921420433354,6.70015803000908,5.963960792769,8.25920057750016,6.39285714285714,6.67857142857143,7.28571428571429,7.07142857142857,7.75,6.46428571428571
objrel_nounpp_______SPP,8.73555946098334,8.2212821108435,8.01351178510769,5.78653167217614,6.63819452494459,8.9213263135037,6.92592592592593,6.77777777777778,6.81481481481481,7.81481481481481,6.44444444444444,6.40740740740741
objrel_nounpp_______SPS,9.14487456551921,8.17795591177334,9.35105753472705,5.98890492509644,6.74828554804121,8.6261658177457,7.11538461538461,6.57692307692308,6.80769230769231,7.96153846153846,7.34615384615385,6.76923076923077
objrel_nounpp_______SSP,9.28497365843409,9.64521610799265,7.33385093166031,7.03449207301843,6.89702639591774,8.96852420591642,6.83333333333333,6.3,6.8,6.9,7.16666666666667,6.83333333333333
objrel_nounpp_______SSS,9.11918475824438,9.1408118131372,9.3738863013965,6.92450471781644,6.27349648239517,9.40777521658523,7.15384615384615,6.73076923076923,6.61538461538461,6.92307692307692,7.65384615384615,6.23076923076923
objrel_that_________PP,7.82701912958123,8.54690678840455,5.70409402809853,6.25156562975453,8.67796254135773,NaN,7,6.26666666666667,8.13333333333333,7.8,6.83333333333333,NaN
objrel_that_________PS,8.40691428401549,9.73007961077284,7.07026646732378,5.89810726932982,8.9407949893843,NaN,6.8,6.86666666666667,7.1,8,6.43333333333333,NaN
objrel_that_________SP,9.58328080146945,8.06942887572716,6.01900878673523,6.86261082460344,8.33674088463902,NaN,6.61764705882353,7.23529411764706,8.05882352941176,6.82352941176471,6.91176470588235,NaN
objrel_that_________SS,9.15900583338201,9.52735326779897,6.7185919312271,7.30640605366311,8.77055283290816,NaN,7.15384615384615,6.65384615384615,7.34615384615385,6.88461538461539,6.65384615384615,NaN
