Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
l'_amico che l'_attrice vicino alle_studentesse accoglie osserva le_bambine,objrel_nounpp,SSP,0,NaN,acceptable
gli_uomini che gli_studenti davanti al_bambino madre ricordano l'_attrice,objrel_nounpp,PPS,-7,V1,verb_noun
i_bambini che il_figlio accanto alla_sorella blocca studentesse i_contadini,objrel_nounpp,PSS,-8,V2,verb_noun
le_contadine che l'_amica davanti alla_ragazza osserva blocca la_studentessa,objrel_nounpp,PSS,8,V2,num_violation
il_ragazzo che i_figli dietro all'_attrice attraggono fermano le_contadine,objrel_nounpp,SPS,8,V2,num_violation
le_bambine ricordano che i_figli indica le_madri,embedding_mental_SR,PP,5,V2,num_violation
il_ragazzo dichiara che i_bambini davanti agli_attori osservano le_amiche,embedding_mental,SPP,0,NaN,acceptable
i_fratelli dichiarano che i_padri attrarre la_studentessa,embedding_mental_SR,PP,-5,V2,infinitive
le_penne che le_madri davanti all'_uomo ignorano accolgono le_donne,objrel_nounpp,PPS,-1,N1,inanimate
gli_attori che il_figlio interrompono evitano le_studentesse,objrel_that,PS,4,V1,num_violation
la_ragazza che la_studentessa accanto alle_bambine critica conosce le_figlie,objrel_nounpp,SSP,0,NaN,acceptable
il_figlio che le_madri ricordano accolgono i_bambini,objrel_that,SP,5,V2,num_violation
la_ragazza che l'_amica davanti alla_contadina figli attrae le_madri,objrel_nounpp,SSS,-7,V1,verb_noun
i_contadini che l'_attrice davanti al_padre ignora difendono la_madre,objrel_nounpp,PSS,0,NaN,acceptable
le_studentesse dicono che il_figlio bloccano le_attrici,embedding_mental_SR,PS,5,V2,num_violation
la_donna ricorda che l'_attrice indicano la_madre,embedding_mental_SR,SS,5,V2,num_violation
il_fratello che gli_uomini incontra ignora il_ragazzo,objrel_that,SP,4,V1,num_violation
le_figlie che il_contadino vicino al_ragazzo ricorda criticano la_studentessa,objrel_nounpp,PSS,0,NaN,acceptable
i_bambini che gli_studenti accanto alle_figlie guardano blocca il_fratello,objrel_nounpp,PPP,8,V2,num_violation
la_donna che il_padre accanto all'_amico ignora ricorda le_madri,objrel_nounpp,SSS,0,NaN,acceptable
le_bambine dichiarano che le_lampade davanti alla_ragazza osserva l'_attrice,embedding_mental,PSS,-4,N2,inanimate
l'_amico che lo_studente madri difende il_figlio,objrel_that,SS,-4,V1,verb_noun
le_attrici che i_bambini vicino al_contadino bloccare ricordano le_figlie,objrel_nounpp,PPS,-7,V1,infinitive
l'_attrice che le_madri dietro alla_sorella osserva interrompe gli_amici,objrel_nounpp,SPS,7,V1,num_violation
le_bambine che l'_attore davanti alle_studentesse eviti ignorano le_amiche,objrel_nounpp,PSP,-7,V1,wrong_person
la_donna che la_figlia vicino al_ragazzo osservano difende le_madri,objrel_nounpp,SSS,7,V1,num_violation
gli_uomini che gli_studenti davanti al_bambino difende ricordano l'_attrice,objrel_nounpp,PPS,7,V1,num_violation
il_ragazzo che lo_studente vicino all'_amico ama ferma il_bambino,objrel_nounpp,SSS,0,NaN,acceptable
la_sorella che i_figli salutano ama la_ragazza,objrel_that,SP,0,NaN,acceptable
i_ragazzi che le_attrici davanti alle_studentesse criticano interrompono il_padre,objrel_nounpp,PPP,0,NaN,acceptable
le_sorelle che le_donne davanti al_contadino accolgono osservano l'_amico,objrel_nounpp,PPS,0,NaN,acceptable
la_ginnastica dichiara che i_figli fermano le_studentesse,embedding_mental_SR,SP,-1,N1,abstract
la_sorella che le_ragazze salutano blocca i_figli,objrel_that,SP,0,NaN,acceptable
il_padre ricorda che gli_attori davanti ai_fratelli ama la_donna,embedding_mental,SPP,7,V2,num_violation
l'_amica dichiara che la_ragazza contadina le_figlie,embedding_mental_SR,SS,-5,V2,verb_noun
gli_studenti dichiarano che gli_amici fermare il_bambino,embedding_mental_SR,PP,-5,V2,infinitive
le_amiche che la_madre dietro ai_figli incontrano guardano le_contadine,objrel_nounpp,PSP,7,V1,num_violation
le_studentesse dichiarano che le_attrici accanto alla_figlia criticano le_donne,embedding_mental,PPS,0,NaN,acceptable
le_madri che la_figlia accanto alla_donna conoscono attraggono i_ragazzi,objrel_nounpp,PSS,7,V1,num_violation
i_ragazzi dicono che l'_amica davanti all'_uomo ferma il_padre,embedding_mental,PSS,0,NaN,acceptable
le_figlie che le_amiche incontrano ignorano l'_uomo,objrel_that,PP,0,NaN,acceptable
i_bambini che le_donne davanti alle_sorelle incontrano conoscono le_ragazze,objrel_nounpp,PPP,0,NaN,acceptable
le_attrici ricordano che le_contadine blocca l'_amico,embedding_mental_SR,PP,5,V2,num_violation
la_ginnastica che le_contadine interrompono accoglie le_donne,objrel_that,SP,-1,N1,abstract
le_figlie ricordano che le_contadine vicino agli_uomini difende l'_attore,embedding_mental,PPP,7,V2,num_violation
le_donne dicono che il_fratello conoscono l'_uomo,embedding_mental_SR,PS,5,V2,num_violation
il_ragazzo dice che i_figli davanti alle_contadine ignorano il_fratello,embedding_mental,SPP,0,NaN,acceptable
i_padri che i_figli davanti agli_studenti guardano interrompono le_contadine,objrel_nounpp,PPP,0,NaN,acceptable
il_ragazzo dichiara che lo_studente vicino al_bambino blocco gli_uomini,embedding_mental,SSS,-7,V2,wrong_person
la_studentessa che le_ragazze dietro alla_contadina osservano incontra gli_amici,objrel_nounpp,SPS,0,NaN,acceptable
gli_uomini dichiarano che lo_studente indicano la_figlia,embedding_mental_SR,PS,5,V2,num_violation
le_ragazze che il_figlio vicino alle_bambine difendere interrompono i_fratelli,objrel_nounpp,PSP,-7,V1,infinitive
