Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_that,le_donne che l'_attrice evita conoscono i_bambini,feminine,plural,feminine,singular,NaN,NaN,2719,NaN,evitano,conosce,NaN,NaN,acceptable,2719,PS,0,NaN,NaN,1,donne,attrice,evita,conoscono,bambini,,8.25694567549093,6.6,objrel_that_________PS
objrel_that,la_madre che gli_amici conoscono fermano il_figlio,feminine,singular,masculine,plural,NaN,NaN,1649,fermano,conosce,fermano,V2,ferma,num_violation,4219,SP,5,NaN,NaN,5,madre,amici,conoscono,fermano,figlio,,9.11847035575242,6.4,objrel_that_________SP
objrel_that,i_piaceri che il_contadino blocca ignorano gli_studenti,masculine,plural,masculine,singular,NaN,NaN,2959,piaceri,bloccano,ignora,N1,i padri,abstract,5392,PS,-1,NaN,NaN,3,piaceri,contadino,blocca,ignorano,studenti,,6.36751152414708,7.6,objrel_that_________PS
embedding_mental,l'_amico dice che gli_attori dietro al_fratello blocca i_contadini,masculine,singular,masculine,plural,masculine,singular,3759,blocca,dicono,blocca,V2,bloccano,num_violation,709,SPS,7,NaN,NaN,2,amico,dice,attori,fratello,blocca,contadini,8.86137558732771,6.33333333333333,embedding_mental____SPS
objrel_nounpp,le_ragazze che l'_attrice accanto ai_bambini accoglie ricordano le_studentesse,feminine,plural,feminine,singular,masculine,plural,2886,NaN,accolgono,ricorda,NaN,NaN,acceptable,2886,PSP,0,NaN,NaN,2,ragazze,attrice,bambini,accoglie,ricordano,studentesse,7.33062805433127,8.16666666666667,objrel_nounpp_______PSP
embedding_mental_SR,il_contadino dichiara che il_padre attrae la_ragazza,masculine,singular,masculine,singular,NaN,NaN,70,NaN,dichiarano,attraggono,NaN,NaN,acceptable,70,SS,0,NaN,NaN,2,contadino,dichiara,padre,attrae,ragazza,,8.07136933692814,7,embedding_mental_SR_SS
embedding_mental_SR,il_contadino dice che le_bambine amico gli_amici,masculine,singular,feminine,plural,NaN,NaN,3039,amico,dicono,attrae,V2,attraggono,verb_noun,324,SP,-5,NaN,NaN,3,contadino,dice,bambine,amico,amici,,9.35897762557447,6,embedding_mental_SR_SP
objrel_nounpp,le_figlie che le_donne dietro al_ragazzo salutano ricordano la_bambina,feminine,plural,feminine,plural,masculine,singular,3820,NaN,saluta,ricorda,NaN,NaN,acceptable,3820,PPS,0,NaN,NaN,2,figlie,donne,ragazzo,salutano,ricordano,bambina,8.09240376415706,7,objrel_nounpp_______PPS
objrel_that,la_studentessa che i_bambini_figlie ricorda il_ragazzo,feminine,singular,masculine,plural,NaN,NaN,1733,figlie,blocca,ricordano,V1,bloccano,verb_noun,4199,SP,-4,NaN,NaN,4,studentessa,bambini,figlie,ricorda,ragazzo,,8.87596919149404,7.6,objrel_that_________SP
objrel_that,i_contadini che le_studentesse incontrano indica i_bambini,masculine,plural,feminine,plural,NaN,NaN,2143,indica,incontra,indica,V2,indicano,num_violation,5790,PP,5,NaN,NaN,2,contadini,studentesse,incontrano,indica,bambini,,7.13793966046926,8.6,objrel_that_________PP
