Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
il_bambino che l'_amica accanto alle_attrici bloccano accoglie la_figlia,objrel_nounpp,SSP,7,V1,num_violation
le_studentesse dichiarano che la_madre accanto alla_contadina bloccano le_bambine,embedding_mental,PSS,7,V2,num_violation
le_bambine dicono che il_padre davanti alle_donne amano l'_amica,embedding_mental,PSP,7,V2,num_violation
le_donne dicono che la_figlia difendono il_bambino,embedding_mental_SR,PS,5,V2,num_violation
l'_amica dice che la_ginnastica accanto allo_studente bloccano le_madri,embedding_mental,SPS,-4,N2,abstract
il_ragazzo che il_fratello dietro al_padre guarda interrompono la_studentessa,objrel_nounpp,SSS,8,V2,num_violation
l'_amico che le_attrici accanto alle_sorelle attraiamo evita i_bambini,objrel_nounpp,SPP,-7,V1,wrong_person
la_ragazza ricorda che l'_attrice ignora i_fratelli,embedding_mental_SR,SS,0,NaN,acceptable
l'_orologio che il_bambino blocca osserva il_figlio,objrel_that,SS,-1,N1,inanimate
l'_amico che la_contadina dietro all'_attore guarda indicano lo_studente,objrel_nounpp,SSS,8,V2,num_violation
i_ragazzi dicono che l'_attore incontrare le_figlie,embedding_mental_SR,PS,-5,V2,infinitive
la_studentessa che gli_amici vicino alle_figlie indica interrompe le_ragazze,objrel_nounpp,SPP,7,V1,num_violation
i_figli che la_studentessa indicano bloccano il_contadino,objrel_that,PS,4,V1,num_violation
l'_attrice ricorda che il_ragazzo accoglie le_figlie,embedding_mental_SR,SS,0,NaN,acceptable
l'_amica che la_contadina vicino alle_sorelle interrompe amano il_fratello,objrel_nounpp,SSP,8,V2,num_violation
i_salti che gli_studenti dietro all'_amica indicano amano il_contadino,objrel_nounpp,PPS,-1,N1,abstract
la_contadina che la_bambina ignora osservano le_attrici,objrel_that,SS,5,V2,num_violation
le_attrici che le_figlie dietro ai_fratelli attraggono ignora le_madri,objrel_nounpp,PPP,8,V2,num_violation
il_contadino che il_fratello ferma ama le_amiche,objrel_that,SS,0,NaN,acceptable
gli_studenti che i_figli amare bloccano gli_uomini,objrel_that,PP,-4,V1,infinitive
i_padri che il_figlio vicino al_contadino osserva studentessa gli_amici,objrel_nounpp,PSS,-8,V2,verb_noun
i_figli che lo_studente incontra interrompere la_bambina,objrel_that,PS,-5,V2,infinitive
i_bambini che la_sorella davanti alla_madre blocca difendere la_figlia,objrel_nounpp,PSS,-8,V2,infinitive
le_madri che le_bambine davanti alla_studentessa accoglie ricordano gli_uomini,objrel_nounpp,PPS,7,V1,num_violation
la_donna dichiara che il_bambino davanti alle_attrici guarda lo_studente,embedding_mental,SSP,0,NaN,acceptable
il_figlio ricorda che la_donna dietro al_contadino guarda la_bambina,embedding_mental,SSS,0,NaN,acceptable
la_ragazza ricorda che gli_studenti davanti alla_sorella ignora le_amiche,embedding_mental,SPS,7,V2,num_violation
i_contadini dicono che le_figlie accanto all'_uomo salutano la_ragazza,embedding_mental,PPS,0,NaN,acceptable
le_contadine ricordano che le_amiche vicino agli_studenti ignorate il_figlio,embedding_mental,PPP,-7,V2,wrong_person
le_studentesse che le_diatribe davanti ai_ragazzi saluta ignorano la_donna,objrel_nounpp,PSP,-3,N2,abstract
il_figlio ricorda che gli_amici guardano il_contadino,embedding_mental_SR,SP,0,NaN,acceptable
le_contadine che il_padre vicino alle_studentesse attrae indicano la_figlia,objrel_nounpp,PSP,0,NaN,acceptable
la_bambina ricorda che le_sorelle davanti alla_studentessa sogna il_figlio,embedding_mental,SPS,7,V2,num_violation
il_contadino che i_bambini dietro all'_attore fermano ricorda la_ragazza,objrel_nounpp,SPS,0,NaN,acceptable
il_bambino che la_madre dietro alla_donna difendono incontra la_contadina,objrel_nounpp,SSS,7,V1,num_violation
