Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
le_contadine che la_madre incontrano conoscono i_ragazzi,objrel_that,PS,4,V1,num_violation
la_figlia dice che il_fratello accanto ai_bambini fermano lo_studente,embedding_mental,SSP,7,V2,num_violation
i_contadini che gli_amici davanti al_figlio bloccano ignora gli_uomini,objrel_nounpp,PPS,8,V2,num_violation
le_amiche che l'_attrice accanto alle_contadine conosce incontrano il_padre,objrel_nounpp,PSP,0,NaN,acceptable
il_ragazzo dichiara che il_fratello conosci l'_attore,embedding_mental_SR,SS,-5,V2,wrong_person
la_studentessa che il_bambino dietro al_ragazzo guarda accolgono il_figlio,objrel_nounpp,SSS,8,V2,num_violation
le_donne dichiarano che il_contadino evitano le_sorelle,embedding_mental_SR,PS,5,V2,num_violation
i_figli che i_bambini vicino all'_amico accolgono criticano la_contadina,objrel_nounpp,PPS,0,NaN,acceptable
l'_amico dichiara che gli_studenti davanti alla_figlia difendiamo il_ragazzo,embedding_mental,SPS,-7,V2,wrong_person
le_madri che il_ragazzo davanti agli_uomini ignorano salutano il_contadino,objrel_nounpp,PSP,7,V1,num_violation
il_bambino che la_figlia criticano saluta le_attrici,objrel_that,SS,4,V1,num_violation
il_padre che le_contadine dietro ai_ragazzi incontriamo ignora il_figlio,objrel_nounpp,SPP,-7,V1,wrong_person
le_amiche che i_fratelli accoglie guardano la_studentessa,objrel_that,PP,4,V1,num_violation
le_donne ricordano che la_bambina attrarre le_madri,embedding_mental_SR,PS,-5,V2,infinitive
le_amiche che la_studentessa davanti ai_figli salutano ignorano i_padri,objrel_nounpp,PSP,7,V1,num_violation
il_fratello ricorda che la_madre davanti all'_amica criticano i_figli,embedding_mental,SSS,7,V2,num_violation
la_figlia che gli_attori fermano osserva i_fratelli,objrel_that,SP,0,NaN,acceptable
i_ragazzi dicono che le_attrici conoscono le_bambine,embedding_mental_SR,PP,0,NaN,acceptable
le_bambine dichiarano che i_figli accanto agli_amici guarda la_sorella,embedding_mental,PPP,7,V2,num_violation
la_ragazza che l'_amica accanto ai_contadini ferma evita le_madri,objrel_nounpp,SSP,0,NaN,acceptable
la_simpatia che l'_amica vicino alla_figlia interrompe ferma la_donna,objrel_nounpp,SSS,-1,N1,abstract
la_studentessa che i_contadini conoscono ricorda la_bambina,objrel_that,SP,0,NaN,acceptable
l'_attore che le_sorelle accanto ai_ragazzi incontriamo difende le_contadine,objrel_nounpp,SPP,-7,V1,wrong_person
il_padre dice che le_donne guardano gli_uomini,embedding_mental_SR,SP,0,NaN,acceptable
le_madri che gli_uomini davanti ai_fratelli ricordano amano le_figlie,objrel_nounpp,PPP,0,NaN,acceptable
il_padre ricorda che il_bambino accanto all'_amica attrae la_figlia,embedding_mental,SSS,0,NaN,acceptable
i_contadini che gli_amici ricorda evitano le_studentesse,objrel_that,PP,4,V1,num_violation
il_bambino dice che il_contadino ama le_ragazze,embedding_mental_SR,SS,0,NaN,acceptable
le_contadine che la_sorella dietro alle_attrici blocca ricorda il_figlio,objrel_nounpp,PSP,8,V2,num_violation
il_padre dichiara che i_figli osserva l'_attore,embedding_mental_SR,SP,5,V2,num_violation
la_sorella dice che le_contadine accanto alle_donne incontriamo la_ragazza,embedding_mental,SPP,-7,V2,wrong_person
le_attrici che la_bambina vicino allo_studente difende uomini il_padre,objrel_nounpp,PSS,-8,V2,verb_noun
le_bambine che la_contadina accanto al_figlio ragazza guardano l'_attrice,objrel_nounpp,PSS,-7,V1,verb_noun
le_figlie che la_sorella attrae ricorda la_studentessa,objrel_that,PS,5,V2,num_violation
le_bambine che la_studentessa accanto ai_ragazzi ignora conoscono le_attrici,objrel_nounpp,PSP,0,NaN,acceptable
gli_uomini che l'_amico davanti alle_attrici interrompe conoscete il_padre,objrel_nounpp,PSP,-8,V2,wrong_person
gli_amici che i_bambini dietro alla_sorella indica bloccano la_studentessa,objrel_nounpp,PPS,7,V1,num_violation
il_bambino che i_contadini vicino alle_figlie conoscono attrae l'_amico,objrel_nounpp,SPP,0,NaN,acceptable
i_ragazzi che le_contadine ferma amano l'_amico,objrel_that,PP,4,V1,num_violation
l'_attrice dichiara che il_padre davanti ai_fratelli osserva il_bambino,embedding_mental,SSP,0,NaN,acceptable
i_bambini che le_studentesse vicino all'_amica ricordano critichiamo l'_uomo,objrel_nounpp,PPS,-8,V2,wrong_person
le_studentesse dichiarano che l'_attore accanto all'_amica accolgono il_ragazzo,embedding_mental,PSS,7,V2,num_violation
la_sorella che le_amiche dietro alle_ragazze ricordano osserva la_madre,objrel_nounpp,SPP,0,NaN,acceptable
lo_studente che le_madri davanti agli_uomini evita accoglie il_ragazzo,objrel_nounpp,SPP,7,V1,num_violation
la_figlia che gli_studenti ignorano ricordano le_ragazze,objrel_that,SP,5,V2,num_violation
la_contadina dichiara che la_studentessa accanto all'_attrice ama i_fratelli,embedding_mental,SSS,0,NaN,acceptable
le_bambine ricordano che l'_amica vicino alla_ragazza blocca i_fratelli,embedding_mental,PSS,0,NaN,acceptable
i_padri dicono che le_donne accanto ai_contadini incontriamo gli_amici,embedding_mental,PPP,-7,V2,wrong_person
il_figlio che le_contadine dietro alla_ragazza fermano accoglie la_studentessa,objrel_nounpp,SPS,0,NaN,acceptable
il_fratello che la_bambina dietro alle_attrici critica ignorano lo_studente,objrel_nounpp,SSP,8,V2,num_violation
il_contadino che i_padri interrompono saluta il_ragazzo,objrel_that,SP,0,NaN,acceptable
le_madri che la_contadina accanto alle_figlie ama attori i_padri,objrel_nounpp,PSP,-8,V2,verb_noun
lo_studente che le_amiche accanto agli_uomini salutano ignorano la_figlia,objrel_nounpp,SPP,8,V2,num_violation
la_studentessa dice che i_figli accanto alle_donne attrae l'_amico,embedding_mental,SPP,7,V2,num_violation
gli_uomini dicono che lo_studente osserva le_amiche,embedding_mental_SR,PS,0,NaN,acceptable
gli_amici dichiarano che i_padri accanto alla_studentessa indicano le_attrici,embedding_mental,PPS,0,NaN,acceptable
l'_attore che le_figlie dietro alla_madre indicate interrompe gli_uomini,objrel_nounpp,SPS,-7,V1,wrong_person
le_figlie che le_sorelle davanti al_bambino padre fermano la_studentessa,objrel_nounpp,PPS,-7,V1,verb_noun
le_madri dichiarano che l'_uomo ama lo_studente,embedding_mental_SR,PS,0,NaN,acceptable
la_contadina ricorda che le_sorelle accoglie il_ragazzo,embedding_mental_SR,SP,5,V2,num_violation
la_bambina dichiara che la_contadina dietro al_fratello indica gli_uomini,embedding_mental,SSS,0,NaN,acceptable
la_donna dice che i_fratelli vicino all'_attore accoglie la_madre,embedding_mental,SPS,7,V2,num_violation
