Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
le_studentesse che la_madre blocca osservano i_figli,objrel_that,PS,0,NaN,acceptable
il_frigorifero che la_ragazza indica attrae le_contadine,objrel_that,SS,-1,N1,inanimate
le_figlie che le_attrici accanto alle_bambine ragazze incontrano i_fratelli,objrel_nounpp,PPP,-7,V1,verb_noun
la_donna che gli_attori davanti all'_amica indichiamo ferma la_madre,objrel_nounpp,SPS,-7,V1,wrong_person
la_studentessa che la_figlia vicino alla_contadina ricorda incontra l'_attrice,objrel_nounpp,SSS,0,NaN,acceptable
l'_amica dice che le_madri evita i_contadini,embedding_mental_SR,SP,5,V2,num_violation
le_madri ricordano che le_amiche indichiamo la_figlia,embedding_mental_SR,PP,-5,V2,wrong_person
la_sedia che i_figli attraggono guarda le_amiche,objrel_that,SP,-1,N1,inanimate
il_dispiacere che le_figlie dietro ai_ragazzi salutano critica le_attrici,objrel_nounpp,SPP,-1,N1,abstract
le_studentesse dicono che le_madri davanti alle_figlie contadine l'_amica,embedding_mental,PPP,-7,V2,verb_noun
le_sorelle che l'_amica dietro alla_madre ignora osservano il_ragazzo,objrel_nounpp,PSS,0,NaN,acceptable
il_fratello che l'_amico osserva ricordano la_figlia,objrel_that,SS,5,V2,num_violation
le_bambine che le_sorelle conoscono guarda l'_attore,objrel_that,PP,5,V2,num_violation
gli_attori che i_padri ragazzo incontrano le_amiche,objrel_that,PP,-4,V1,verb_noun
lo_studente ricorda che l'_amica difende la_contadina,embedding_mental_SR,SS,0,NaN,acceptable
il_figlio dice che l'_uomo studentessa la_contadina,embedding_mental_SR,SS,-5,V2,verb_noun
la_bambina che il_ragazzo davanti ai_fratelli osservi attrae le_donne,objrel_nounpp,SSP,-7,V1,wrong_person
l'_amica che il_figlio accanto ai_ragazzi critica evita la_contadina,objrel_nounpp,SSP,0,NaN,acceptable
il_bambino dice che le_contadine vicino ai_fratelli attrae il_figlio,embedding_mental,SPP,7,V2,num_violation
le_donne che la_bambina incontra accoglie l'_attrice,objrel_that,PS,5,V2,num_violation
l'_uomo che il_ragazzo davanti agli_amici ama evita l'_attore,objrel_nounpp,SSP,0,NaN,acceptable
i_bambini che il_padre dietro alle_donne blocchi indicano la_madre,objrel_nounpp,PSP,-7,V1,wrong_person
le_sorelle dichiarano che i_bambini vicino al_ragazzo ignora gli_uomini,embedding_mental,PPS,7,V2,num_violation
il_padre che il_contadino difende ignora la_studentessa,objrel_that,SS,0,NaN,acceptable
la_studentessa che la_sorella davanti alle_ragazze critica osserva le_madri,objrel_nounpp,SSP,0,NaN,acceptable
l'_uomo dichiara che le_ragazze incontrate il_contadino,embedding_mental_SR,SP,-5,V2,wrong_person
la_studentessa che i_ragazzi accanto agli_uomini evita ferma la_sorella,objrel_nounpp,SPP,7,V1,num_violation
il_padre che le_donne ricordano ferma i_fratelli,objrel_that,SP,0,NaN,acceptable
la_donna che le_contadine davanti all'_amico difendono criticano le_studentesse,objrel_nounpp,SPS,8,V2,num_violation
il_fratello che le_contadine ama accoglie la_studentessa,objrel_that,SP,4,V1,num_violation
le_matite che le_bambine osservano indicano gli_amici,objrel_that,PP,-1,N1,inanimate
i_bambini dichiarano che le_sorelle amate i_ragazzi,embedding_mental_SR,PP,-5,V2,wrong_person
la_sorella dichiara che l'_amica davanti alle_madri interrompono il_figlio,embedding_mental,SSP,7,V2,num_violation
il_fratello dice che le_bambine davanti allo_studente ragazze la_madre,embedding_mental,SPS,-7,V2,verb_noun
le_contadine dicono che l'_attrice accanto alla_bambina interrompe la_donna,embedding_mental,PSS,0,NaN,acceptable
i_bambini che l'_attore accoglie incontrano il_padre,objrel_that,PS,0,NaN,acceptable
le_sorelle che la_ragazza ignorano interrompono la_figlia,objrel_that,PS,4,V1,num_violation
i_ragazzi che i_sedili dietro all'_attore osservano criticano le_donne,objrel_nounpp,PPS,-3,N2,inanimate
le_studentesse che gli_amici davanti al_bambino attrae interrompono la_figlia,objrel_nounpp,PPS,7,V1,num_violation
le_attrici ricordano che il_ragazzo figlia gli_studenti,embedding_mental_SR,PS,-5,V2,verb_noun
le_donne che la_madre vicino al_ragazzo ferma contadine i_bambini,objrel_nounpp,PSS,-8,V2,verb_noun
le_figlie che le_contadine dietro alla_donna amano ricordare il_fratello,objrel_nounpp,PPS,-8,V2,infinitive
gli_studenti che il_contadino attrae ignorano gli_uomini,objrel_that,PS,0,NaN,acceptable
le_amiche che le_ragazze dietro ai_contadini conosciamo salutano la_sorella,objrel_nounpp,PPP,-7,V1,wrong_person
i_padri che la_sorella accanto al_contadino salutano interrompono la_bambina,objrel_nounpp,PSS,7,V1,num_violation
i_fratelli dicono che la_studentessa davanti agli_amici indicare la_bambina,embedding_mental,PSP,-7,V2,infinitive
il_figlio che i_bambini attraggono difendono la_donna,objrel_that,SP,5,V2,num_violation
la_donna che la_contadina indica evitano gli_studenti,objrel_that,SS,5,V2,num_violation
le_contadine che lo_studente vicino all'_uomo blocca incontrano le_ragazze,objrel_nounpp,PSS,0,NaN,acceptable
le_ragazze che le_amiche dietro al_bambino osservano ama il_fratello,objrel_nounpp,PPS,8,V2,num_violation
i_padri dichiarano che l'_attore accanto agli_amici evitano gli_uomini,embedding_mental,PSP,7,V2,num_violation
le_amiche ricordano che i_bambini vicino alle_madri guarda le_ragazze,embedding_mental,PPP,7,V2,num_violation
la_figlia che l'_attore vicino alle_ragazze osserva evitano i_padri,objrel_nounpp,SSP,8,V2,num_violation
la_bambina che il_fratello ricorda ignora la_sorella,objrel_that,SS,0,NaN,acceptable
i_padri che il_contadino dietro alla_ragazza evita indicano la_bambina,objrel_nounpp,PSS,0,NaN,acceptable
la_figlia che la_contadina accanto all'_attrice accoglie indicano l'_uomo,objrel_nounpp,SSS,8,V2,num_violation
le_studentesse dichiarano che la_ragazza vicino alle_amiche indica la_sorella,embedding_mental,PSP,0,NaN,acceptable
