subject,sentence_type,trial_type,violation_type,violation_position,congruent_subjects,congruent_attractor,congruent_subjects_attractor,condition,error_rate
0,embedding_mental_LR,Violation,V1,other,False,False,False_False,PSP,
0,embedding_mental_LR,Violation,V1,other,False,False,False_False,SPS,
0,embedding_mental_LR,Violation,V1,other,False,True,False_True,PSS,
0,embedding_mental_LR,Violation,V1,other,False,True,False_True,SPP,
0,embedding_mental_LR,Violation,V1,other,True,False,True_False,PPS,
0,embedding_mental_LR,Violation,V1,other,True,False,True_False,SSP,
0,embedding_mental_LR,Violation,V1,other,True,True,True_True,PPP,
0,embedding_mental_LR,Violation,V1,other,True,True,True_True,SSS,
0,embedding_mental_LR,Violation,V2,inner,False,False,False_False,PSP,0.06944444444444445
0,embedding_mental_LR,Violation,V2,inner,False,False,False_False,SPS,0.1130952380952381
0,embedding_mental_LR,Violation,V2,inner,False,True,False_True,PSS,0.015873015873015872
0,embedding_mental_LR,Violation,V2,inner,False,True,False_True,SPP,0.047619047619047616
0,embedding_mental_LR,Violation,V2,inner,True,False,True_False,PPS,0.10714285714285714
0,embedding_mental_LR,Violation,V2,inner,True,False,True_False,SSP,0.06349206349206349
0,embedding_mental_LR,Violation,V2,inner,True,True,True_True,PPP,0.023809523809523808
0,embedding_mental_LR,Violation,V2,inner,True,True,True_True,SSS,0.00992063492063492
0,embedding_mental_SR,Violation,V1,other,False,,,PS,
0,embedding_mental_SR,Violation,V1,other,False,,,SP,
0,embedding_mental_SR,Violation,V1,other,True,,,PP,
0,embedding_mental_SR,Violation,V1,other,True,,,SS,
0,embedding_mental_SR,Violation,V2,inner,False,,,PS,0.007
0,embedding_mental_SR,Violation,V2,inner,False,,,SP,0.011
0,embedding_mental_SR,Violation,V2,inner,True,,,PP,0.013
0,embedding_mental_SR,Violation,V2,inner,True,,,SS,0.003
0,objrel,Violation,V1,inner,False,,,PS,0.435
0,objrel,Violation,V1,inner,False,,,SP,0.263
0,objrel,Violation,V1,inner,True,,,PP,0.012
0,objrel,Violation,V1,inner,True,,,SS,0.001
0,objrel,Violation,V2,outer,False,,,PS,0.249
0,objrel,Violation,V2,outer,False,,,SP,0.281
0,objrel,Violation,V2,outer,True,,,PP,0.054
0,objrel,Violation,V2,outer,True,,,SS,0.012
0,objrel_nounpp,Violation,V1,inner,False,False,False_False,PSP,0.9047619047619048
0,objrel_nounpp,Violation,V1,inner,False,False,False_False,SPS,0.6964285714285714
0,objrel_nounpp,Violation,V1,inner,False,True,False_True,PSS,0.75
0,objrel_nounpp,Violation,V1,inner,False,True,False_True,SPP,0.5337301587301587
0,objrel_nounpp,Violation,V1,inner,True,False,True_False,PPS,0.05357142857142857
0,objrel_nounpp,Violation,V1,inner,True,False,True_False,SSP,0.03968253968253968
0,objrel_nounpp,Violation,V1,inner,True,True,True_True,PPP,0.025793650793650792
0,objrel_nounpp,Violation,V1,inner,True,True,True_True,SSS,0.001984126984126984
0,objrel_nounpp,Violation,V2,outer,False,False,False_False,PSP,0.3611111111111111
0,objrel_nounpp,Violation,V2,outer,False,False,False_False,SPS,0.23015873015873015
0,objrel_nounpp,Violation,V2,outer,False,True,False_True,PSS,0.44642857142857145
0,objrel_nounpp,Violation,V2,outer,False,True,False_True,SPP,0.21428571428571427
0,objrel_nounpp,Violation,V2,outer,True,False,True_False,PPS,0.1865079365079365
0,objrel_nounpp,Violation,V2,outer,True,False,True_False,SSP,0.061507936507936505
