subject,sentence_type,trial_type,violation_type,violation_position,congruent_subjects,congruent_attractor,congruent_subjects_attractor,condition,correct_wrong,valid_answer,block,trial_num,slide_num_of_viol,RT,is_outlier
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,PSP,CORRECT,CORRECT,1,25,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,PSP,CORRECT,CORRECT,1,3,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,PSP,CORRECT,CORRECT,1,65,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,PSP,WRONG_INC,WRONG,1,108,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,PSP,WRONG_INC,WRONG,1,165,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,SPS,CORRECT,CORRECT,1,139,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,SPS,CORRECT,CORRECT,1,204,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,SPS,CORRECT_INC,CORRECT,1,148,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,SPS,CORRECT_INC,CORRECT,1,158,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,False,False_False,SPS,CORRECT_INC,CORRECT,1,72,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,True,False_True,PSS,CORRECT,CORRECT,1,151,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,True,False_True,PSS,CORRECT,CORRECT,1,48,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,True,False_True,PSS,CORRECT_INC,CORRECT,1,60,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,True,False_True,PSS,WRONG_INC,WRONG,1,172,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,True,False_True,PSS,WRONG_INC,WRONG,1,185,0,0,False
21,embedding_mental_LR,Acceptable,None,other,False,True,False_True,SPP,CORRECT,CORRECT,1,193,0,0,False
