Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_nounpp,le_figlie che i_contadini davanti alla_studentessa evitano salutano la_donna,feminine,plural,masculine,plural,feminine,singular,3788,NaN,evita,saluta,NaN,NaN,acceptable,3788,PPS,0,NaN,NaN,5,figlie,contadini,studentessa,evitano,salutano,donna,6.85984358552968,7.66666666666667,objrel_nounpp_______PPS
objrel_nounpp,i_fratelli che le_attrici dietro alla_studentessa evita fermano il_contadino,masculine,plural,feminine,plural,feminine,singular,2119,evita,evita,ferma,V1,evitano,num_violation,3445,PPS,7,NaN,NaN,2,fratelli,attrici,studentessa,evita,fermano,contadino,6.65638870706071,7.83333333333333,objrel_nounpp_______PPS
objrel_that,la_sorella che la_ragazza salutano indica i_contadini,feminine,singular,feminine,singular,NaN,NaN,1471,salutano,salutano,indicano,V1,saluta,num_violation,7657,SS,4,NaN,NaN,1,sorella,ragazza,salutano,indica,contadini,,7.838895190518,7.4,objrel_that_________SS
objrel_nounpp,i_figli che il_bambino davanti al_ragazzo conosce sogna l'_amica,masculine,plural,masculine,singular,masculine,singular,2992,sogna,conoscono,saluta,V2,salutano,num_violation,7853,PSS,8,NaN,NaN,5,figli,bambino,ragazzo,conosce,sogna,amica,9.24966138391476,6,objrel_nounpp_______PSS
objrel_nounpp,il_fratello che le_ragazze dietro alle_amiche salutano osserva le_studentesse,masculine,singular,feminine,plural,feminine,plural,1206,NaN,saluta,osservano,NaN,NaN,acceptable,1206,SPP,0,NaN,NaN,5,fratello,ragazze,amiche,salutano,osserva,studentesse,7.51405715747771,7.83333333333333,objrel_nounpp_______SPP
embedding_mental,la_figlia dichiara che le_ragazze vicino ai_contadini guarda le_bambine,feminine,singular,feminine,plural,masculine,plural,1162,guarda,dichiarano,guarda,V2,guardano,num_violation,2295,SPP,7,NaN,NaN,1,figlia,dichiara,ragazze,contadini,guarda,bambine,8.61364911991662,7.16666666666667,embedding_mental____SPP
objrel_that,il_salto che le_contadine fermano indica le_attrici,masculine,singular,feminine,plural,NaN,NaN,3148,salto,ferma,indicano,N1,l' amico,abstract,6030,SP,-1,NaN,NaN,3,salto,contadine,fermano,indica,attrici,,6.06500152808325,6.8,objrel_that_________SP
embedding_mental,le_ragazze dichiarano che gli_attori dietro alla_contadina difendono il_bambino,feminine,plural,masculine,plural,feminine,singular,3441,NaN,dichiara,difende,NaN,NaN,acceptable,3441,PPS,0,NaN,NaN,4,ragazze,dichiarano,attori,contadina,difendono,bambino,6.95494612765469,8,embedding_mental____PPS
objrel_that,i_quaderni che l'_amico evita ricordano la_figlia,masculine,plural,masculine,singular,NaN,NaN,2993,quaderni,evitano,ricorda,N1,i ragazzi,inanimate,4999,PS,-1,NaN,NaN,1,quaderni,amico,evita,ricordano,figlia,,7.77962982727761,6.6,objrel_that_________PS
objrel_nounpp,i_padri che la_sorella accanto al_contadino saluta interrompono la_bambina,masculine,plural,feminine,singular,masculine,singular,2464,NaN,salutano,interrompe,NaN,NaN,acceptable,2464,PSS,0,NaN,NaN,2,padri,sorella,contadino,saluta,interrompono,bambina,7.3739924889177,7.66666666666667,objrel_nounpp_______PSS
objrel_nounpp,le_contadine che gli_amici accanto alle_attrici interrompe difendono la_figlia,feminine,plural,masculine,plural,feminine,plural,523,interrompe,interrompe,difende,V1,interrompono,num_violation,6324,PPP,7,NaN,NaN,5,contadine,amici,attrici,interrompe,difendono,figlia,6.56893586788977,7.66666666666667,objrel_nounpp_______PPP
objrel_nounpp,l'_amico che la_figlia davanti ai_padri blocca saluta la_sorella,masculine,singular,feminine,singular,masculine,plural,383,NaN,bloccano,salutano,NaN,NaN,acceptable,383,SSP,0,NaN,NaN,4,amico,figlia,padri,blocca,saluta,sorella,8.70256940520941,5.83333333333333,objrel_nounpp_______SSP
embedding_mental,i_fratelli dicono che la_ragazza davanti alla_bambina amiche il_figlio,masculine,plural,feminine,singular,feminine,singular,2380,amiche,dice,accolgono,V2,accoglie,verb_noun,147,PSS,-7,NaN,NaN,2,fratelli,dicono,ragazza,bambina,amiche,figlio,9.53755919392125,6.66666666666667,embedding_mental____PSS
embedding_mental,l'_amico dice che gli_attori dietro al_fratello bloccano i_contadini,masculine,singular,masculine,plural,masculine,singular,1193,NaN,dicono,blocca,NaN,NaN,acceptable,1193,SPS,0,NaN,NaN,3,amico,dice,attori,fratello,bloccano,contadini,8.60284303403548,6.66666666666667,embedding_mental____SPS
objrel_nounpp,la_donna che le_contadine davanti alla_sorella evitare ferma i_fratelli,feminine,singular,feminine,plural,feminine,singular,1093,evitare,evita,fermano,V1,evitano,infinitive,3576,SPS,-7,NaN,NaN,5,donna,contadine,sorella,evitare,ferma,fratelli,8.34493430614177,6.83333333333333,objrel_nounpp_______SPS
objrel_that,gli_attori che l'_amico incontra ricorda l'_uomo,masculine,plural,masculine,singular,NaN,NaN,2788,ricorda,incontrano,ricorda,V2,ricordano,num_violation,7123,PS,5,NaN,NaN,4,attori,amico,incontra,ricorda,uomo,,9.13223273539743,6,objrel_that_________PS
embedding_mental,i_bambini dicono che la_sorella accanto agli_amici accoglie la_studentessa,masculine,plural,feminine,singular,masculine,plural,2637,NaN,dice,accolgono,NaN,NaN,acceptable,2637,PSP,0,NaN,NaN,5,bambini,dicono,sorella,amici,accoglie,studentessa,8.56117520623479,7.33333333333333,embedding_mental____PSP
objrel_that,i_compassi che gli_attori accolgono amano gli_amici,masculine,plural,masculine,plural,NaN,NaN,2732,compassi,accoglie,ama,N1,i ragazzi,inanimate,147,PP,-1,NaN,NaN,5,compassi,attori,accolgono,amano,amici,,6.11632190551164,6.6,objrel_that_________PP
objrel_nounpp,la_ragazza che il_bambino davanti ai_fratelli saluta guarda la_figlia,feminine,singular,masculine,singular,masculine,plural,792,NaN,salutano,guardano,NaN,NaN,acceptable,792,SSP,0,NaN,NaN,2,ragazza,bambino,fratelli,saluta,guarda,figlia,9.6442419797319,6.66666666666667,objrel_nounpp_______SSP
objrel_nounpp,la_ragazza che le_madri davanti ai_fratelli guardano attraggo l'_amica,feminine,singular,feminine,plural,masculine,plural,1180,attraggo,guarda,attraggono,V2,attrae,wrong_person,1158,SPP,-8,NaN,NaN,4,ragazza,madri,fratelli,guardano,attraggo,amica,7.57827524196689,6.83333333333333,objrel_nounpp_______SPP
