Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
le_studentesse dichiarano che i_bambini vicino alla_contadina attraggono la_ragazza,embedding_mental,PPS,0,NaN,acceptable
i_contadini che il_padre ricorda attrarre il_fratello,objrel_that,PS,-5,V2,infinitive
la_donna dice che gli_studenti dietro all'_attrice incontra le_madri,embedding_mental,SPS,7,V2,num_violation
le_sorelle che la_madre difendono accolgono i_bambini,objrel_that,PS,4,V1,num_violation
i_fratelli che il_padre davanti al_ragazzo guardano osservano le_sorelle,objrel_nounpp,PSS,7,V1,num_violation
le_sorelle che gli_studenti ricorda evitano l'_attore,objrel_that,PP,4,V1,num_violation
le_bambine che le_madri davanti all'_uomo ignorano accolgono le_donne,objrel_nounpp,PPS,0,NaN,acceptable
l'_attrice che le_figlie vicino ai_bambini indica conosce l'_uomo,objrel_nounpp,SPP,7,V1,num_violation
i_bambini che gli_studenti difende ignorano l'_attrice,objrel_that,PP,4,V1,num_violation
il_figlio ricorda che il_contadino amico lo_studente,embedding_mental_SR,SS,-5,V2,verb_noun
l'_orologio che la_donna accanto al_padre ferma critica gli_studenti,objrel_nounpp,SSS,-1,N1,inanimate
i_fratelli che la_madre vicino agli_uomini indica difendiamo le_attrici,objrel_nounpp,PSP,-8,V2,wrong_person
le_sorelle ricordano che la_figlia vicino alle_contadine amare l'_attrice,embedding_mental,PSP,-7,V2,infinitive
l'_attore che i_figli incontra attrae le_madri,objrel_that,SP,4,V1,num_violation
la_bambina che le_donne davanti all'_amica amano accoglie il_figlio,objrel_nounpp,SPS,0,NaN,acceptable
i_fratelli che i_bambini dietro agli_uomini osserva attraggono i_ragazzi,objrel_nounpp,PPP,7,V1,num_violation
i_ragazzi che la_madre osserva ignora la_donna,objrel_that,PS,5,V2,num_violation
le_donne dichiarano che la_contadina accanto agli_attori conosce la_bambina,embedding_mental,PSP,0,NaN,acceptable
la_donna che i_fratelli ignorano osserva i_bambini,objrel_that,SP,0,NaN,acceptable
gli_uomini che la_studentessa davanti al_contadino incontra difendono il_bambino,objrel_nounpp,PSS,0,NaN,acceptable
la_contadina che le_madri accanto agli_attori fermano evita le_sorelle,objrel_nounpp,SPP,0,NaN,acceptable
l'_attore dice che lo_studente davanti al_ragazzo salutare le_madri,embedding_mental,SSS,-7,V2,infinitive
la_simpatia che le_donne dietro alle_studentesse criticano ama le_bambine,objrel_nounpp,SPP,-1,N1,abstract
il_bambino che gli_attori ferma interrompe i_fratelli,objrel_that,SP,4,V1,num_violation
lo_studente che il_contadino dietro alle_figlie uomini indica i_padri,objrel_nounpp,SSP,-7,V1,verb_noun
gli_amici che la_studentessa accanto alla_sorella interrompe salutano le_attrici,objrel_nounpp,PSS,0,NaN,acceptable
il_bambino dichiara che il_piacere vicino agli_attori indicano le_contadine,embedding_mental,SPP,-4,N2,abstract
il_ragazzo che le_madri vicino al_fratello evita osserva l'_attrice,objrel_nounpp,SPS,7,V1,num_violation
il_padre dice che il_compasso accanto alle_sorelle accolgono il_contadino,embedding_mental,SPP,-4,N2,inanimate
le_studentesse dicono che le_matite davanti ai_padri salutano i_bambini,embedding_mental,PPP,-4,N2,inanimate
la_lampada che le_donne davanti alle_contadine criticano attrae i_fratelli,objrel_nounpp,SPP,-1,N1,inanimate
le_amiche dichiarano che la_figlia blocca la_ragazza,embedding_mental_SR,PS,0,NaN,acceptable
il_fratello che le_madri dietro alla_figlia ignorano incontrare i_ragazzi,objrel_nounpp,SPS,-8,V2,infinitive
la_bambina dichiara che le_contadine accanto all'_attore amica la_ragazza,embedding_mental,SPS,-7,V2,verb_noun
i_quaderni che la_sorella difende attraggono l'_uomo,objrel_that,PS,-1,N1,inanimate
le_madri che i_bambini davanti all'_attore guardano contadino le_sorelle,objrel_nounpp,PPS,-8,V2,verb_noun
il_bambino dichiara che i_fratelli accanto ai_ragazzi difende le_madri,embedding_mental,SPP,7,V2,num_violation
i_ragazzi dicono che i_figli davanti alle_attrici donne le_bambine,embedding_mental,PPP,-7,V2,verb_noun
gli_uomini dichiarano che i_ragazzi vicino all'_amico sogna l'_attore,embedding_mental,PPS,7,V2,num_violation
l'_amico che il_padre dietro ai_figli ricordano ferma le_ragazze,objrel_nounpp,SSP,7,V1,num_violation
gli_attori che la_figlia vicino al_bambino evita ignorano la_studentessa,objrel_nounpp,PSS,0,NaN,acceptable
la_bambina dichiara che le_attrici vicino ai_contadini attraggono gli_amici,embedding_mental,SPP,0,NaN,acceptable
la_madre che le_ragazze ricordano contadino il_figlio,objrel_that,SP,-5,V2,verb_noun
il_padre che le_studentesse bambina conosce il_figlio,objrel_that,SP,-4,V1,verb_noun
la_sorella che il_ragazzo davanti alle_contadine criticano ricorda le_bambine,objrel_nounpp,SSP,7,V1,num_violation
la_figlia dichiara che l'_amico davanti alle_donne blocca gli_uomini,embedding_mental,SSP,0,NaN,acceptable
la_sorella che gli_amici dietro alle_contadine difende ignora il_padre,objrel_nounpp,SPP,7,V1,num_violation
le_sorelle dicono che le_televisioni vicino alla_figlia salutano l'_attrice,embedding_mental,PPS,-4,N2,inanimate
il_figlio dice che le_bambine dietro all'_attrice interrompono la_ragazza,embedding_mental,SPS,0,NaN,acceptable
gli_uomini che la_studentessa ignorare indicano gli_attori,objrel_that,PS,-4,V1,infinitive
i_fratelli che il_ragazzo dietro alle_bambine ignorano accolgono le_sorelle,objrel_nounpp,PSP,7,V1,num_violation
la_madre che le_contadine dietro alla_bambina difendono indicano le_ragazze,objrel_nounpp,SPS,8,V2,num_violation
gli_attori dichiarano che i_sonni davanti all'_amico attrae le_ragazze,embedding_mental,PSS,-4,N2,abstract
i_figli che l'_amica accanto alle_studentesse ferma indica il_bambino,objrel_nounpp,PSP,8,V2,num_violation
il_sonno dice che gli_amici conoscono il_ragazzo,embedding_mental_SR,SP,-1,N1,abstract
l'_amico che gli_uomini evitano ferma i_bambini,objrel_that,SP,0,NaN,acceptable
le_studentesse che il_figlio vicino alle_ragazze indica bloccano le_sorelle,objrel_nounpp,PSP,0,NaN,acceptable
il_contadino che gli_studenti dietro alla_ragazza criticano ricorda i_figli,objrel_nounpp,SPS,0,NaN,acceptable
l'_uomo ricorda che la_sorella dietro alla_studentessa amare l'_amico,embedding_mental,SSS,-7,V2,infinitive
