Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
gli_attori che lo_studente guardano osservano la_madre,objrel_that,PS,4,V1,num_violation
i_ragazzi dicono che la_bambina accanto all'_attrice guardi i_figli,embedding_mental,PSS,-7,V2,wrong_person
i_figli che i_bambini vicino all'_amico accolgono criticano la_contadina,objrel_nounpp,PPS,0,NaN,acceptable
l'_amico che i_figli interrompono ricordare la_studentessa,objrel_that,SP,-5,V2,infinitive
il_contadino che i_padri vicino alle_ragazze ignorano conoscono lo_studente,objrel_nounpp,SPP,8,V2,num_violation
i_fratelli che i_bambini incontrano critica gli_studenti,objrel_that,PP,5,V2,num_violation
le_donne che gli_amici guarda ignorano l'_uomo,objrel_that,PP,4,V1,num_violation
i_padri ricordano che i_frigoriferi accanto ai_fratelli difende il_ragazzo,embedding_mental,PSP,-4,N2,inanimate
il_fratello che i_bambini vicino alla_figlia salutano guardano l'_amica,objrel_nounpp,SPS,8,V2,num_violation
le_attrici ricordano che gli_uomini vicino ai_bambini evita l'_amica,embedding_mental,PPP,7,V2,num_violation
gli_amici che la_studentessa accanto alla_sorella interrompe salutano le_attrici,objrel_nounpp,PSS,0,NaN,acceptable
il_fratello che il_figlio accanto al_contadino difende attrai la_studentessa,objrel_nounpp,SSS,-8,V2,wrong_person
gli_uomini ricordano che l'_attore saluta gli_amici,embedding_mental_SR,PS,0,NaN,acceptable
la_studentessa dichiara che l'_attore difendono gli_amici,embedding_mental_SR,SS,5,V2,num_violation
le_madri che gli_attori vicino allo_studente salutano guarda le_figlie,objrel_nounpp,PPS,8,V2,num_violation
il_dolore che l'_attrice davanti al_bambino guarda indica il_padre,objrel_nounpp,SSS,-1,N1,abstract
le_sorelle dicono che le_lampade vicino alle_contadine ama l'_amica,embedding_mental,PSP,-4,N2,inanimate
l'_attrice che la_contadina osservano attrae la_figlia,objrel_that,SS,4,V1,num_violation
la_sorella che la_contadina dietro agli_studenti ricorda amano il_ragazzo,objrel_nounpp,SSP,8,V2,num_violation
il_figlio che le_contadine incontra critica l'_amico,objrel_that,SP,4,V1,num_violation
la_figlia che gli_amici dietro ai_ragazzi evitano indicano la_sorella,objrel_nounpp,SPP,8,V2,num_violation
gli_studenti che l'_attrice conoscono interrompono i_ragazzi,objrel_that,PS,4,V1,num_violation
il_figlio dice che gli_amici amiamo i_padri,embedding_mental_SR,SP,-5,V2,wrong_person
la_bambina che gli_attori bloccare saluta la_donna,objrel_that,SP,-4,V1,infinitive
le_figlie ricordano che il_contadino ignorano lo_studente,embedding_mental_SR,PS,5,V2,num_violation
l'_attrice dichiara che la_bambina dietro alla_donna incontrano il_fratello,embedding_mental,SSS,7,V2,num_violation
