Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_that,gli_attori che lo_studente guardano osservano la_madre,masculine,plural,masculine,singular,NaN,NaN,2793,guardano,guardano,osserva,V1,guarda,num_violation,4634,PS,4,NaN,NaN,3,attori,studente,guardano,osservano,madre,,7.61576767243209,7.2,objrel_that_________PS
embedding_mental,i_ragazzi dicono che la_bambina accanto all'_attrice guardi i_figli,masculine,plural,feminine,singular,feminine,singular,2388,guardi,dice,guardano,V2,guarda,wrong_person,2383,PSS,-7,NaN,NaN,2,ragazzi,dicono,bambina,attrice,guardi,figli,9.39777655449729,6.33333333333333,embedding_mental____PSS
objrel_nounpp,i_figli che i_bambini vicino all'_amico accolgono criticano la_contadina,masculine,plural,masculine,plural,masculine,singular,3326,NaN,accoglie,critica,NaN,NaN,acceptable,3326,PPS,0,NaN,NaN,2,figli,bambini,amico,accolgono,criticano,contadina,7.22795517793873,7.33333333333333,objrel_nounpp_______PPS
objrel_that,l'_amico che i_figli interrompono ricordare la_studentessa,masculine,singular,masculine,plural,NaN,NaN,3659,ricordare,interrompe,ricordano,V2,ricorda,infinitive,7426,SP,-5,NaN,NaN,2,amico,figli,interrompono,ricordare,studentessa,,8.08636955182619,8.4,objrel_that_________SP
objrel_nounpp,il_contadino che i_padri vicino alle_ragazze ignorano conoscono lo_studente,masculine,singular,masculine,plural,feminine,plural,3540,conoscono,ignora,conoscono,V2,conosce,num_violation,2300,SPP,8,NaN,NaN,2,contadino,padri,ragazze,ignorano,conoscono,studente,7.25614520814687,7.66666666666667,objrel_nounpp_______SPP
objrel_that,i_fratelli che i_bambini incontrano critica gli_studenti,masculine,plural,masculine,plural,NaN,NaN,2684,critica,incontra,critica,V2,criticano,num_violation,2559,PP,5,NaN,NaN,3,fratelli,bambini,incontrano,critica,studenti,,7.8961739497455,8,objrel_that_________PP
objrel_that,le_donne che gli_amici guarda ignorano l'_uomo,feminine,plural,masculine,plural,NaN,NaN,590,guarda,guarda,ignora,V1,guardano,num_violation,4459,PP,4,NaN,NaN,5,donne,amici,guarda,ignorano,uomo,,9.41987741281991,5.6,objrel_that_________PP
embedding_mental,i_padri ricordano che i_frigoriferi accanto ai_fratelli difende il_ragazzo,masculine,plural,feminine,singular,masculine,plural,2451,frigoriferi,ricorda,difendono,N2,labambina,inanimate,1095,PSP,-4,NaN,NaN,4,padri,ricordano,frigoriferi,fratelli,difende,ragazzo,7.11526733582739,7.83333333333333,embedding_mental____PSP
objrel_nounpp,il_fratello che i_bambini vicino alla_figlia salutano guardano l'_amica,masculine,singular,masculine,plural,feminine,singular,3622,guardano,saluta,guardano,V2,guarda,num_violation,4631,SPS,8,NaN,NaN,3,fratello,bambini,figlia,salutano,guardano,amica,8.64169603556567,7,objrel_nounpp_______SPS
embedding_mental,le_attrici ricordano che gli_uomini vicino ai_bambini evita l'_amica,feminine,plural,masculine,plural,masculine,plural,647,evita,ricorda,evita,V2,evitano,num_violation,1869,PPP,7,NaN,NaN,4,attrici,ricordano,uomini,bambini,evita,amica,8.01593868072323,6.5,embedding_mental____PPP
objrel_nounpp,gli_amici che la_studentessa accanto alla_sorella interrompe salutano le_attrici,masculine,plural,feminine,singular,feminine,singular,2038,NaN,interrompono,saluta,NaN,NaN,acceptable,2038,PSS,0,NaN,NaN,3,amici,studentessa,sorella,interrompe,salutano,attrici,7.08337028412997,8,objrel_nounpp_______PSS
objrel_nounpp,il_fratello che il_figlio accanto al_contadino difende attrai la_studentessa,masculine,singular,masculine,singular,masculine,singular,3986,attrai,difendono,attraggono,V2,attrae,wrong_person,1256,SSS,-8,NaN,NaN,1,fratello,figlio,contadino,difende,attrai,studentessa,7.20393382204228,7.83333333333333,objrel_nounpp_______SSS
embedding_mental_SR,gli_uomini ricordano che l'_attore saluta gli_amici,masculine,plural,masculine,singular,NaN,NaN,2195,NaN,ricorda,salutano,NaN,NaN,acceptable,2195,PS,0,NaN,NaN,5,uomini,ricordano,attore,saluta,amici,,8.43759628192798,6.4,embedding_mental_SR_PS
embedding_mental_SR,la_studentessa dichiara che l'_attore difendono gli_amici,feminine,singular,masculine,singular,NaN,NaN,1986,difendono,dichiarano,difendono,V2,difende,num_violation,1694,SS,5,NaN,NaN,2,studentessa,dichiara,attore,difendono,amici,,7.22997052915152,7.8,embedding_mental_SR_SS
objrel_nounpp,le_madri che gli_attori vicino allo_studente salutano guarda le_figlie,feminine,plural,masculine,plural,masculine,singular,732,guarda,saluta,guarda,V2,guardano,num_violation,4414,PPS,8,NaN,NaN,5,madri,attori,studente,salutano,guarda,figlie,7.4909049099719,6.5,objrel_nounpp_______PPS
objrel_nounpp,il_dolore che l'_attrice davanti al_bambino guarda indica il_padre,masculine,singular,feminine,singular,masculine,singular,3488,dolore,guardano,indicano,N1,ilfratello,abstract,3719,SSS,-1,NaN,NaN,1,dolore,attrice,bambino,guarda,indica,padre,9.38592705515642,6.16666666666667,objrel_nounpp_______SSS
embedding_mental,le_sorelle dicono che le_lampade vicino alle_contadine ama l'_amica,feminine,plural,masculine,singular,feminine,plural,811,lampade,dice,amano,N2,ilpadre,inanimate,2778,PSP,-4,NaN,NaN,2,sorelle,dicono,lampade,contadine,ama,amica,7.44072985466907,6.16666666666667,embedding_mental____PSP
