Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
il_ragazzo che le_donne accanto alla_studentessa bloccano saluta i_fratelli,objrel_nounpp,SPS,0,NaN,acceptable
il_figlio che gli_uomini accanto alle_sorelle accolgono difendere l'_amico,objrel_nounpp,SPP,-8,V2,infinitive
la_ragazza che le_madri vicino al_fratello ignora ferma l'_attrice,objrel_nounpp,SPS,7,V1,num_violation
le_sorelle ricordano che la_ragazza dietro alle_donne interrompono l'_attore,embedding_mental,PSP,7,V2,num_violation
i_fratelli che il_padre dietro alle_figlie interrompe osservano la_madre,objrel_nounpp,PSP,0,NaN,acceptable
la_sorella che l'_attrice vicino alle_donne blocco osserva i_figli,objrel_nounpp,SSP,-7,V1,wrong_person
il_ragazzo dichiara che i_fratelli dietro alla_donna evitano gli_attori,embedding_mental,SPS,0,NaN,acceptable
i_dispiaceri dicono che la_studentessa blocca le_figlie,embedding_mental_SR,PS,-1,N1,abstract
la_bambina che i_fratelli difende interrompe la_figlia,objrel_that,SP,4,V1,num_violation
le_ragazze che le_madri accanto agli_attori difendono sogna i_bambini,objrel_nounpp,PPP,8,V2,num_violation
le_sorelle ricordano che il_figlio dietro al_bambino interrompono l'_amica,embedding_mental,PSS,7,V2,num_violation
le_sorelle che la_ragazza difende ricorda la_madre,objrel_that,PS,5,V2,num_violation
le_madri che gli_amici amano contadino i_fratelli,objrel_that,PP,-5,V2,verb_noun
l'_uomo che la_madre dietro alle_attrici evita accoglie le_donne,objrel_nounpp,SSP,0,NaN,acceptable
il_contadino ricorda che l'_amico guardano il_bambino,embedding_mental_SR,SS,5,V2,num_violation
il_bambino che il_figlio davanti alle_studentesse interrompono saluta l'_attore,objrel_nounpp,SSP,7,V1,num_violation
i_padri dichiarano che i_sonni vicino allo_studente accoglie le_sorelle,embedding_mental,PSS,-4,N2,abstract
le_contadine ricordano che gli_amici ferma il_figlio,embedding_mental_SR,PP,5,V2,num_violation
la_figlia che il_contadino osserva ferma l'_uomo,objrel_that,SS,0,NaN,acceptable
l'_amico che le_madri davanti agli_uomini osserva difende la_contadina,objrel_nounpp,SPP,7,V1,num_violation
i_sedili che le_amiche amano fermano la_contadina,objrel_that,PP,-1,N1,inanimate
lo_studente che la_sorella uomo evita le_amiche,objrel_that,SS,-4,V1,verb_noun
i_padri ricordano che le_studentesse dietro all'_uomo incontrano le_amiche,embedding_mental,PPS,0,NaN,acceptable
le_donne che il_fratello dietro alle_attrici conosce salutano il_bambino,objrel_nounpp,PSP,0,NaN,acceptable
i_padri che la_donna difende ignorano gli_attori,objrel_that,PS,0,NaN,acceptable
il_bambino dichiara che la_figlia ferma il_ragazzo,embedding_mental_SR,SS,0,NaN,acceptable
la_donna che le_figlie accanto allo_studente evitano guardano l'_amica,objrel_nounpp,SPS,8,V2,num_violation
l'_attrice che le_madri davanti alle_studentesse evitare critica i_figli,objrel_nounpp,SPP,-7,V1,infinitive
i_ragazzi dicono che l'_amica davanti all'_uomo fermare il_padre,embedding_mental,PSS,-7,V2,infinitive
i_padri ricordano che gli_studenti osservano i_bambini,embedding_mental_SR,PP,0,NaN,acceptable
le_donne che i_contadini dietro alle_amiche criticare accolgono le_bambine,objrel_nounpp,PPP,-7,V1,infinitive
le_contadine dichiarano che l'_amico accanto ai_figli salutano la_madre,embedding_mental,PSP,7,V2,num_violation
il_bambino dichiara che la_madre vicino alle_ragazze guardano le_donne,embedding_mental,SSP,7,V2,num_violation
le_donne che gli_amici interrompono sorella il_contadino,objrel_that,PP,-5,V2,verb_noun
l'_amico dichiara che lo_studente osservi i_bambini,embedding_mental_SR,SS,-5,V2,wrong_person
i_padri dicono che l'_amica ama le_sorelle,embedding_mental_SR,PS,0,NaN,acceptable
l'_amico che la_contadina dietro all'_attore guarda indica lo_studente,objrel_nounpp,SSS,0,NaN,acceptable
gli_uomini dicono che i_salti davanti ai_figli interrompe i_ragazzi,embedding_mental,PSP,-4,N2,abstract
lo_studente che la_madre ricorda dico i_padri,objrel_that,SS,-5,V2,wrong_person
gli_attori che la_ragazza vicino alla_figlia conoscono difendono le_madri,objrel_nounpp,PSS,7,V1,num_violation
il_bambino ricorda che le_amiche bloccano gli_attori,embedding_mental_SR,SP,0,NaN,acceptable
l'_amica dichiara che il_fratello dietro al_padre blocca la_figlia,embedding_mental,SSS,0,NaN,acceptable
i_contadini che gli_attori ignorano amano i_bambini,objrel_that,PP,0,NaN,acceptable
gli_uomini che le_ragazze dietro all'_attore bloccano salutano il_fratello,objrel_nounpp,PPS,0,NaN,acceptable
l'_amica ricorda che l'_antipatia vicino ai_contadini guardano gli_uomini,embedding_mental,SPP,-4,N2,abstract
le_studentesse dicono che la_contadina davanti ai_padri ferma i_figli,embedding_mental,PSP,0,NaN,acceptable
la_ragazza che la_contadina accanto alle_bambine osserva amare la_studentessa,objrel_nounpp,SSP,-8,V2,infinitive
il_fratello che le_attrici vicino agli_uomini conoscono incontrano le_amiche,objrel_nounpp,SPP,8,V2,num_violation
il_fratello che il_padre accanto alle_attrici conosce difendo il_ragazzo,objrel_nounpp,SSP,-8,V2,wrong_person
le_penne che il_figlio vicino alla_sorella ignora indicano lo_studente,objrel_nounpp,PSS,-1,N1,inanimate
la_contadina che il_ragazzo dietro alle_studentesse ricorda accoglie l'_uomo,objrel_nounpp,SSP,0,NaN,acceptable
l'_attore che la_contadina vicino al_fratello ama interrompono il_bambino,objrel_nounpp,SSS,8,V2,num_violation
gli_amici che le_ragazze davanti al_fratello accoglie difendono la_donna,objrel_nounpp,PPS,7,V1,num_violation
la_contadina che i_fratelli vicino alla_madre salutano incontra la_ragazza,objrel_nounpp,SPS,0,NaN,acceptable
il_fratello che il_bambino ama saluta l'_attore,objrel_that,SS,0,NaN,acceptable
la_ragazza dichiara che gli_attori dietro alla_sorella indica i_bambini,embedding_mental,SPS,7,V2,num_violation
le_figlie che le_attrici dietro allo_studente criticano salutano la_donna,objrel_nounpp,PPS,0,NaN,acceptable
gli_uomini che il_padre ama accolgono l'_amico,objrel_that,PS,0,NaN,acceptable
gli_uomini che la_bambina dietro alle_ragazze ricorda critica le_donne,objrel_nounpp,PSP,8,V2,num_violation
i_fratelli che la_ragazza critica evitate i_contadini,objrel_that,PS,-5,V2,wrong_person
la_simpatia che le_madri davanti ai_contadini guardano accoglie il_padre,objrel_nounpp,SPP,-1,N1,abstract
l'_attore che i_bambini amano sorelle le_figlie,objrel_that,SP,-5,V2,verb_noun
i_figli che gli_uomini interrompono salutano la_madre,objrel_that,PP,0,NaN,acceptable
la_ragazza che il_fratello accanto all'_attrice evita ama le_bambine,objrel_nounpp,SSS,0,NaN,acceptable
le_madri che l'_attrice accoglie incontra l'_amico,objrel_that,PS,5,V2,num_violation
le_bambine che gli_uomini accanto ai_ragazzi attraete evitano gli_amici,objrel_nounpp,PPP,-7,V1,wrong_person
la_donna che lo_studente dietro alle_madri incontrano saluta la_figlia,objrel_nounpp,SSP,7,V1,num_violation
il_bambino dice che il_fratello critica gli_uomini,embedding_mental_SR,SS,0,NaN,acceptable
il_padre dichiara che la_contadina vicino ai_ragazzi interrompono le_donne,embedding_mental,SSP,7,V2,num_violation
i_ragazzi ricordano che i_contadini accanto alle_attrici indicano le_sorelle,embedding_mental,PPP,0,NaN,acceptable
gli_amici dichiarano che il_bambino osserva la_figlia,embedding_mental_SR,PS,0,NaN,acceptable
le_contadine che le_attrici dietro ai_padri ignorano criticano la_figlia,objrel_nounpp,PPP,0,NaN,acceptable
il_ragazzo che le_donne accanto alla_studentessa blocca saluta i_fratelli,objrel_nounpp,SPS,7,V1,num_violation
la_studentessa che gli_attori accanto alle_amiche criticano interrompe i_ragazzi,objrel_nounpp,SPP,0,NaN,acceptable
le_ginnastiche che l'_amica ricorda accolgono le_studentesse,objrel_that,PS,-1,N1,abstract
le_bambine che il_padre dietro alla_studentessa saluta bloccano la_contadina,objrel_nounpp,PSS,0,NaN,acceptable
gli_studenti che gli_uomini evitano ignorano le_sorelle,objrel_that,PP,0,NaN,acceptable
le_bambine che gli_amici dietro ai_fratelli difendono ricordate gli_uomini,objrel_nounpp,PPP,-8,V2,wrong_person
i_bambini che le_sorelle davanti al_padre studentessa difendono le_donne,objrel_nounpp,PPS,-7,V1,verb_noun
le_bambine che l'_uomo vicino alla_ragazza criticano bloccano la_madre,objrel_nounpp,PSS,7,V1,num_violation
l'_attore ricorda che i_figli dietro ai_padri conosce i_ragazzi,embedding_mental,SPP,7,V2,num_violation
la_studentessa che il_contadino interrompere evita la_figlia,objrel_that,SS,-4,V1,infinitive
le_donne che le_ragazze davanti al_bambino attraggono bloccano il_fratello,objrel_nounpp,PPS,0,NaN,acceptable
le_matite che i_contadini accanto alla_sorella guardano salutano gli_studenti,objrel_nounpp,PPS,-1,N1,inanimate
i_padri che il_fratello indica osservano le_contadine,objrel_that,PS,0,NaN,acceptable
la_madre che le_attrici vicino al_fratello incontrano uomo il_bambino,objrel_nounpp,SPS,-8,V2,verb_noun
i_figli ricordano che l'_attore accanto ai_fratelli indica il_bambino,embedding_mental,PSP,0,NaN,acceptable
lo_studente che le_contadine fermano interrompono l'_amica,objrel_that,SP,5,V2,num_violation
la_sorella ricorda che l'_amica accanto alle_contadine ferma i_padri,embedding_mental,SSP,0,NaN,acceptable
i_bambini ricordano che la_figlia dietro alla_donna ignorare gli_amici,embedding_mental,PSS,-7,V2,infinitive
il_padre che l'_amica davanti alle_sorelle ricorda saluta la_contadina,objrel_nounpp,SSP,0,NaN,acceptable
l'_attore dice che le_studentesse vicino alle_amiche fermano il_fratello,embedding_mental,SPP,0,NaN,acceptable
l'_amica che la_contadina vicino alla_figlia incontra guarda i_ragazzi,objrel_nounpp,SSS,0,NaN,acceptable
il_figlio ricorda che il_bambino dietro agli_amici guardano le_madri,embedding_mental,SSP,7,V2,num_violation
la_sorella che le_figlie accanto ai_padri evitano guardano gli_amici,objrel_nounpp,SPP,8,V2,num_violation
l'_uomo che l'_attrice vicino alle_studentesse blocca salutano il_ragazzo,objrel_nounpp,SSP,8,V2,num_violation
la_studentessa ricorda che il_fratello vicino all'_uomo accolgo il_padre,embedding_mental,SSS,-7,V2,wrong_person
le_attrici dicono che i_bambini vicino alle_sorelle uomo i_fratelli,embedding_mental,PPP,-7,V2,verb_noun
l'_amico dice che gli_attori attraggono le_sorelle,embedding_mental_SR,SP,0,NaN,acceptable
il_bambino dichiara che la_figlia guardano gli_amici,embedding_mental_SR,SS,5,V2,num_violation
gli_amici ricordano che la_bambina studenti la_sorella,embedding_mental_SR,PS,-5,V2,verb_noun
la_sorella che la_ragazza accanto alle_studentesse conosco interrompe la_figlia,objrel_nounpp,SSP,-7,V1,wrong_person
le_studentesse che i_contadini vicino ai_figli difende evitano gli_uomini,objrel_nounpp,PPP,7,V1,num_violation
le_ragazze dichiarano che la_contadina davanti alla_figlia salutano l'_attore,embedding_mental,PSS,7,V2,num_violation
lo_studente che la_donna davanti al_ragazzo salutare guarda i_padri,objrel_nounpp,SSS,-7,V1,infinitive
la_bambina che i_fratelli salutano conosce la_studentessa,objrel_that,SP,0,NaN,acceptable
le_sorelle che l'_amica bloccano amano il_figlio,objrel_that,PS,4,V1,num_violation
la_ragazza che la_figlia accanto ai_bambini ignora bloccano i_padri,objrel_nounpp,SSP,8,V2,num_violation
l'_uomo che la_contadina dietro alla_studentessa attrae interrompe il_figlio,objrel_nounpp,SSS,0,NaN,acceptable
