Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
embedding_mental_SR,i_figli dichiarano che i_fratelli incontrano il_contadino,masculine,plural,masculine,plural,NaN,NaN,3320,NaN,dichiara,incontra,NaN,NaN,acceptable,3320,PP,0,NaN,NaN,5,figli,dichiarano,fratelli,incontrano,contadino,,7.18281208096171,8.4,embedding_mental_SR_PP
objrel_nounpp,gli_studenti che le_attrici vicino all'_amico indicano critichiamo la_donna,masculine,plural,feminine,plural,masculine,singular,2228,critichiamo,indica,critica,V2,criticano,wrong_person,2652,PPS,-8,NaN,NaN,3,studenti,attrici,amico,indicano,critichiamo,donna,7.40806674827799,7.33333333333333,objrel_nounpp_______PPS
objrel_nounpp,gli_attori che le_madri accanto alla_sorella evita fermano il_ragazzo,masculine,plural,feminine,plural,feminine,singular,2088,evita,evita,ferma,V1,evitano,num_violation,3444,PPS,7,NaN,NaN,5,attori,madri,sorella,evita,fermano,ragazzo,7.81718267123182,6.16666666666667,objrel_nounpp_______PPS
objrel_nounpp,le_contadine che le_ragazze accanto alle_studentesse interrompono criticano le_amiche,feminine,plural,feminine,plural,feminine,plural,3704,NaN,interrompe,critica,NaN,NaN,acceptable,3704,PPP,0,NaN,NaN,5,contadine,ragazze,studentesse,interrompono,criticano,amiche,5.78276432809289,9,objrel_nounpp_______PPP
embedding_mental_SR,la_bambina dice che gli_amici conoscete gli_attori,feminine,singular,masculine,plural,NaN,NaN,1557,conoscete,dicono,conosce,V2,conoscono,wrong_person,1028,SP,-5,NaN,NaN,3,bambina,dice,amici,conoscete,attori,,9.20555087018747,6.2,embedding_mental_SR_SP
objrel_that,i_fratelli che le_figlie guardano ragazze gli_amici,masculine,plural,feminine,plural,NaN,NaN,2204,ragazze,guarda,ferma,V2,fermano,verb_noun,6022,PP,-5,NaN,NaN,2,fratelli,figlie,guardano,ragazze,amici,,8.70712777993077,6.8,objrel_that_________PP
objrel_that,gli_attori che gli_uomini guardano ignorano la_figlia,masculine,plural,masculine,plural,NaN,NaN,3046,NaN,guarda,ignora,NaN,NaN,acceptable,3046,PP,0,NaN,NaN,2,attori,uomini,guardano,ignorano,figlia,,7.90823128333187,6.8,objrel_that_________PP
objrel_nounpp,gli_amici che il_padre davanti alla_bambina indica incontra le_studentesse,masculine,plural,masculine,singular,feminine,singular,2839,incontra,indicano,incontra,V2,incontrano,num_violation,5180,PSS,8,NaN,NaN,2,amici,padre,bambina,indica,incontra,studentesse,8.42254293214859,7,objrel_nounpp_______PSS
objrel_nounpp,l'_attore che le_amiche accanto ai_bambini ignorano critica la_donna,masculine,singular,feminine,plural,masculine,plural,1430,NaN,ignora,criticano,NaN,NaN,acceptable,1430,SPP,0,NaN,NaN,1,attore,amiche,bambini,ignorano,critica,donna,7.98174472294654,6.5,objrel_nounpp_______SPP
objrel_that,il_fratello che gli_amici ignorano ricorda le_bambine,masculine,singular,masculine,plural,NaN,NaN,1142,NaN,ignora,ricordano,NaN,NaN,acceptable,1142,SP,0,NaN,NaN,1,fratello,amici,ignorano,ricorda,bambine,,8.41265945827881,7,objrel_that_________SP
objrel_nounpp,il_contadino che gli_attori dietro ai_ragazzi ignorate critica il_figlio,masculine,singular,masculine,plural,masculine,plural,3660,ignorate,ignora,criticano,V1,ignorano,wrong_person,4691,SPP,-7,NaN,NaN,2,contadino,attori,ragazzi,ignorate,critica,figlio,7.85098896812129,7.16666666666667,objrel_nounpp_______SPP
objrel_nounpp,lo_studente che i_figli dietro alla_madre incontrano ferma le_amiche,masculine,singular,masculine,plural,feminine,singular,1977,NaN,incontra,fermano,NaN,NaN,acceptable,1977,SPS,0,NaN,NaN,3,studente,figli,madre,incontrano,ferma,amiche,8.57380492280457,6.5,objrel_nounpp_______SPS
objrel_nounpp,il_contadino che i_ragazzi davanti ai_bambini amano attrai l'_uomo,masculine,singular,masculine,plural,masculine,plural,3664,attrai,ama,attraggono,V2,attrae,wrong_person,1279,SPP,-8,NaN,NaN,1,contadino,ragazzi,bambini,amano,attrai,uomo,8.22646187496445,6.33333333333333,objrel_nounpp_______SPP
objrel_nounpp,il_bambino che la_ragazza accanto alle_studentesse critica difendono la_madre,masculine,singular,feminine,singular,feminine,plural,3281,difendono,criticano,difendono,V2,difende,num_violation,3061,SSP,8,NaN,NaN,5,bambino,ragazza,studentesse,critica,difendono,madre,8.12061558450818,7.66666666666667,objrel_nounpp_______SSP
objrel_nounpp,il_figlio che le_contadine vicino alla_donna fermano osserva i_padri,masculine,singular,feminine,plural,feminine,singular,1144,NaN,ferma,osservano,NaN,NaN,acceptable,1144,SPS,0,NaN,NaN,3,figlio,contadine,donna,fermano,osserva,padri,7.43752698842912,6.5,objrel_nounpp_______SPS
