Sentence,Sentence_Type,condition,slide,Element_changed,Violation_Type
le_donne che l'_attrice evita conoscono i_bambini,objrel_that,PS,0,NaN,acceptable
la_madre che gli_amici conoscono fermano il_figlio,objrel_that,SP,5,V2,num_violation
i_piaceri che il_contadino blocca ignorano gli_studenti,objrel_that,PS,-1,N1,abstract
l'_amico dice che gli_attori dietro al_fratello blocca i_contadini,embedding_mental,SPS,7,V2,num_violation
le_ragazze che l'_attrice accanto ai_bambini accoglie ricordano le_studentesse,objrel_nounpp,PSP,0,NaN,acceptable
il_contadino dichiara che il_padre attrae la_ragazza,embedding_mental_SR,SS,0,NaN,acceptable
il_contadino dice che le_bambine amico gli_amici,embedding_mental_SR,SP,-5,V2,verb_noun
le_figlie che le_donne dietro al_ragazzo salutano ricordano la_bambina,objrel_nounpp,PPS,0,NaN,acceptable
la_studentessa che i_bambini_figlie ricorda il_ragazzo,objrel_that,SP,-4,V1,verb_noun
i_contadini che le_studentesse incontrano indica i_bambini,objrel_that,PP,5,V2,num_violation
le_sorelle che i_bambini accanto alle_amiche conosce fermano la_donna,objrel_nounpp,PPP,7,V1,num_violation
le_diatribe dicono che gli_amici indicano i_figli,embedding_mental_SR,PP,-1,N1,abstract
il_ragazzo che le_studentesse difendono bloccano l'_uomo,objrel_that,SP,5,V2,num_violation
le_amiche ricordano che le_bambine vicino al_padre incontriamo i_ragazzi,embedding_mental,PPS,-7,V2,wrong_person
il_fratello che la_ragazza davanti alle_contadine critica ricorda l'_attrice,objrel_nounpp,SSP,0,NaN,acceptable
la_bambina dichiara che le_madri critica il_padre,embedding_mental_SR,SP,5,V2,num_violation
l'_attrice dichiara che la_simpatia davanti alle_madri salutano i_bambini,embedding_mental,SPP,-4,N2,abstract
la_bambina che il_contadino dietro alle_donne critica conoscere l'_uomo,objrel_nounpp,SSP,-8,V2,infinitive
le_contadine ricordano che le_matite dietro al_padre conoscono le_ragazze,embedding_mental,PPS,-4,N2,inanimate
la_bambina che le_attrici difendono evita le_figlie,objrel_that,SP,0,NaN,acceptable
il_fratello che le_amiche accanto al_contadino fermano evita la_madre,objrel_nounpp,SPS,0,NaN,acceptable
gli_attori ricordano che la_donna dietro alla_figlia salutare i_bambini,embedding_mental,PSS,-7,V2,infinitive
gli_studenti che il_contadino accanto ai_ragazzi ami salutano gli_attori,objrel_nounpp,PSP,-7,V1,wrong_person
i_padri che i_contadini accanto alle_attrici ama incontrano le_sorelle,objrel_nounpp,PPP,7,V1,num_violation
i_padri che gli_studenti conoscono critica i_ragazzi,objrel_that,PP,5,V2,num_violation
il_ragazzo che i_bambini accanto ai_contadini incontrano amica gli_uomini,objrel_nounpp,SPP,-8,V2,verb_noun
la_bambina dice che l'_attore accanto al_fratello contadina i_contadini,embedding_mental,SSS,-7,V2,verb_noun
le_contadine ricordano che gli_studenti conosce la_figlia,embedding_mental_SR,PP,5,V2,num_violation
i_padri che la_ragazza accoglie osservano la_madre,objrel_that,PS,0,NaN,acceptable
i_fratelli che i_contadini ricorda incontrano la_madre,objrel_that,PP,4,V1,num_violation
l'_attore ricorda che la_figlia davanti ai_contadini bambino la_studentessa,embedding_mental,SSP,-7,V2,verb_noun
le_sorelle che il_figlio ama guarda l'_attrice,objrel_that,PS,5,V2,num_violation
le_amiche che la_contadina vicino alla_donna interrompo attraggono le_studentesse,objrel_nounpp,PSS,-7,V1,wrong_person
la_ragazza dice che la_contadina davanti alla_sorella osservano il_figlio,embedding_mental,SSS,7,V2,num_violation
i_bambini che i_fratelli dietro alle_ragazze critica ricordano gli_amici,objrel_nounpp,PPP,7,V1,num_violation
il_ragazzo che i_padri accanto al_contadino incontrano blocca l'_uomo,objrel_nounpp,SPS,0,NaN,acceptable
la_contadina dichiara che le_bambine dietro alle_attrici fermano la_sorella,embedding_mental,SPP,0,NaN,acceptable
il_dolore ricorda che i_figli criticano i_bambini,embedding_mental_SR,SP,-1,N1,abstract
il_padre che le_ragazze dietro alla_figlia guardano conosci la_madre,objrel_nounpp,SPS,-8,V2,wrong_person
le_ragazze che le_figlie vicino all'_amica difendono evitiamo la_sorella,objrel_nounpp,PPS,-8,V2,wrong_person
le_bambine che le_ragazze fermano osservano gli_amici,objrel_that,PP,0,NaN,acceptable
la_sorella che i_figli davanti ai_padri criticano difende gli_uomini,objrel_nounpp,SPP,0,NaN,acceptable
i_fratelli che gli_studenti davanti alle_amiche guardano incontrano i_bambini,objrel_nounpp,PPP,0,NaN,acceptable
il_fratello che lo_studente davanti alla_contadina conosce ricordi la_ragazza,objrel_nounpp,SSS,-8,V2,wrong_person
il_ragazzo che l'_uomo davanti al_contadino ricordano conosce i_padri,objrel_nounpp,SSS,7,V1,num_violation
la_donna dice che gli_amici attrae la_ragazza,embedding_mental_SR,SP,5,V2,num_violation
la_contadina che l'_amico vicino ai_fratelli accoglie indica la_madre,objrel_nounpp,SSP,0,NaN,acceptable
gli_amici dicono che i_ragazzi davanti ai_contadini osservano gli_uomini,embedding_mental,PPP,0,NaN,acceptable
l'_amica che le_madri accanto alle_ragazze indicano ricordi le_attrici,objrel_nounpp,SPP,-8,V2,wrong_person
le_sorelle che i_contadini indicano bambine gli_attori,objrel_that,PP,-5,V2,verb_noun
il_contadino che gli_studenti dietro agli_attori sorella conosce le_bambine,objrel_nounpp,SPP,-7,V1,verb_noun
gli_amici dichiarano che i_figli davanti agli_studenti conoscere la_bambina,embedding_mental,PPP,-7,V2,infinitive
le_studentesse ricordano che l'_attore amare la_sorella,embedding_mental_SR,PS,-5,V2,infinitive
la_contadina che il_padre accanto all'_amica accoglie ignorano le_donne,objrel_nounpp,SSS,8,V2,num_violation
le_figlie ricordano che le_attrici interrompono lo_studente,embedding_mental_SR,PP,0,NaN,acceptable
le_figlie che la_donna critica ignora l'_attore,objrel_that,PS,5,V2,num_violation
i_bambini che le_studentesse dietro all'_amica incontrano difendono la_contadina,objrel_nounpp,PPS,0,NaN,acceptable
gli_attori che la_madre accanto al_fratello ricorda amano gli_studenti,objrel_nounpp,PSS,0,NaN,acceptable
l'_attore che i_bambini osservano salutano il_padre,objrel_that,SP,5,V2,num_violation
