Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_that,la_donna che lo_studente indica ama le_amiche,feminine,singular,masculine,singular,NaN,NaN,677,NaN,indicano,amano,NaN,NaN,acceptable,677,SS,0,NaN,NaN,3,donna,studente,indica,ama,amiche,,8.51279729816936,5.6,objrel_that_________SS
embedding_mental,la_donna dichiara che le_bambine accanto allo_studente conosce gli_amici,feminine,singular,feminine,plural,masculine,singular,1223,conosce,dichiarano,conosce,V2,conoscono,num_violation,937,SPS,7,NaN,NaN,3,donna,dichiara,bambine,studente,conosce,amici,8.66375089755758,6.66666666666667,embedding_mental____SPS
objrel_nounpp,le_figlie che il_bambino vicino all'_uomo blocca ferma la_contadina,feminine,plural,masculine,singular,masculine,singular,972,ferma,bloccano,ferma,V2,fermano,num_violation,3754,PSS,8,NaN,NaN,2,figlie,bambino,uomo,blocca,ferma,contadina,8.24418691813855,6.16666666666667,objrel_nounpp_______PSS
embedding_mental,la_sorella ricorda che gli_amici accanto all'_attrice attrae la_studentessa,feminine,singular,masculine,plural,feminine,singular,1633,attrae,ricordano,attrae,V2,attraggono,num_violation,503,SPS,7,NaN,NaN,4,sorella,ricorda,amici,attrice,attrae,studentessa,8.1783929273807,7.16666666666667,embedding_mental____SPS
objrel_that,le_bambine che i_ragazzi fermano incontra il_contadino,feminine,plural,masculine,plural,NaN,NaN,561,incontra,ferma,incontra,V2,incontrano,num_violation,5310,PP,5,NaN,NaN,5,bambine,ragazzi,fermano,incontra,contadino,,7.54506022623432,7.6,objrel_that_________PP
embedding_mental,gli_amici dicono che gli_uomini vicino alle_contadine accoglie la_madre,masculine,plural,masculine,plural,feminine,plural,2523,accoglie,dice,accoglie,V2,accolgono,num_violation,66,PPP,7,NaN,NaN,1,amici,dicono,uomini,contadine,accoglie,madre,8.23725099527284,6.5,embedding_mental____PPP
objrel_that,il_padre che le_figlie ricordano difende gli_uomini,masculine,singular,feminine,plural,NaN,NaN,1228,NaN,ricorda,difendono,NaN,NaN,acceptable,1228,SP,0,NaN,NaN,4,padre,figlie,ricordano,difende,uomini,,8.225426778432,6.6,objrel_that_________SP
objrel_nounpp,le_figlie che i_padri dietro all'_attore fermano osservano le_sorelle,feminine,plural,masculine,plural,masculine,singular,3795,NaN,ferma,osserva,NaN,NaN,acceptable,3795,PPS,0,NaN,NaN,5,figlie,padri,attore,fermano,osservano,sorelle,6.84964159233114,6.66666666666667,objrel_nounpp_______PPS
embedding_mental_SR,l'_attore dice che le_ragazze difende la_donna,masculine,singular,feminine,plural,NaN,NaN,3184,difende,dicono,difende,V2,difendono,num_violation,1562,SP,5,NaN,NaN,4,attore,dice,ragazze,difende,donna,,8.96320750493953,5.8,embedding_mental_SR_SP
embedding_mental_SR,gli_amici ricordano che gli_attori fermano la_figlia,masculine,plural,masculine,plural,NaN,NaN,3032,NaN,ricorda,ferma,NaN,NaN,acceptable,3032,PP,0,NaN,NaN,3,amici,ricordano,attori,fermano,figlia,,8.01348711413493,6.6,embedding_mental_SR_PP
