UniqueConditionAggragated,FreqConditions_1,FreqConditions_2,FreqConditions_3,FreqConditions_4,FreqConditions_5,FreqConditions_6,LengthConditions_1,LengthConditions_2,LengthConditions_3,LengthConditions_4,LengthConditions_5,LengthConditions_6
embedding_mental_SR_PP,7.46675506500531,7.5442457024513,7.84479847871979,6.17304992189897,8.45885426592509,NaN,7.21428571428571,7.78571428571429,6.07142857142857,7.42857142857143,7.07142857142857,NaN
embedding_mental_SR_PS,7.4326669144285,6.99042706529031,9.707530715875,6.46419717571649,9.16755619730936,NaN,7.45454545454545,8.27272727272727,6.27272727272727,7.90909090909091,6.27272727272727,NaN
embedding_mental_SR_SP,9.97300912852248,9.01068724622171,7.30919906995585,6.25805561863453,8.7019986986595,NaN,6.3125,6.3125,7.9375,7.8125,6.5,NaN
embedding_mental_SR_SS,9.51484330700631,8.37632265482572,9.73152180606467,6.9286421059058,8.53502789347461,NaN,6.57894736842105,6.78947368421053,6.36842105263158,7.05263157894737,6.47368421052632,NaN
embedding_mental____PPP,8.19255423882896,6.04145070358759,7.10514067992395,7.65792538116322,6.00845680234163,8.93015578618843,6.88235294117647,9.11764705882353,7.52941176470588,6.70588235294118,8.35294117647059,5.94117647058824
embedding_mental____PPS,8.28407893939184,6.41807146790303,6.73226108325318,9.9474040150074,5.73160339715707,8.10764557914704,7,8.76923076923077,7.76923076923077,6.30769230769231,7.30769230769231,6.61538461538461
embedding_mental____PSP,8.4585713804635,6.79736170867703,8.28657374390856,8.05697858641763,7.09652934175778,8.90408658494449,6.76923076923077,8.38461538461539,7.15384615384615,7.30769230769231,6.76923076923077,7
embedding_mental____PSS,9.1787987117303,7.52493266980767,8.07696882673198,10.1731957097276,7.28415174766536,9.39968173838106,6.47058823529412,7.82352941176471,7.23529411764706,6.11764705882353,6,6.41176470588235
embedding_mental____SPP,9.13192864572081,9.18663549348161,8.05713829027233,8.30858887579,7.05087752315958,9.24170731476768,7.07692307692308,6.07692307692308,7.30769230769231,6.61538461538461,7.76923076923077,6.38461538461539
embedding_mental____SPS,9.21372113750766,9.04698390375831,7.48636726269408,9.34928769780525,6.52562749860983,8.93871414683731,6.85714285714286,5.85714285714286,6.78571428571429,6.92857142857143,8.07142857142857,6.92857142857143
embedding_mental____SSP,8.90323972036967,8.17223984972154,9.75754267123324,8.12785445298985,6.58013368402814,8.06587432906738,7.4,6.73333333333333,5.86666666666667,6.73333333333333,7.73333333333333,7
embedding_mental____SSS,9.7284345272744,9.35553457980019,9.92253033976822,9.91086213143178,6.74401371375032,8.39035605895705,6.77777777777778,5.61111111111111,6.22222222222222,6.5,7.44444444444444,6.55555555555556
objrel_nounpp_______PPP,7.98742978767431,7.33102295894449,7.92740749061838,5.89682770729914,5.84448479548095,9.28368668132356,7.02941176470588,6.76470588235294,6.79411764705882,8.44117647058824,8.32352941176471,6.32352941176471
objrel_nounpp_______PPS,8.62772864984269,8.43463207736468,9.21773853770139,6.01346080588736,5.98590844866482,9.27809209089889,6.7037037037037,6.62962962962963,6.51851851851852,8.44444444444444,8.03703703703704,6.07407407407407
objrel_nounpp_______PSP,8.37751671142565,9.3177344148295,8.13457974640191,6.84497944032309,5.92592515001961,8.611798754757,6.75,6.625,6.875,6.84375,8.09375,6.8125
objrel_nounpp_______PSS,7.36132446959808,9.41399267321918,9.05061943471905,6.90330674159829,5.86881446634092,9.11387089363901,7.24242424242424,6.54545454545455,7.03030303030303,7.06060606060606,8.6969696969697,6.51515151515152
objrel_nounpp_______SPP,8.7789449900417,8.19113636041664,8.72299372417413,5.58305692087704,6.51627205231211,8.83398622471088,7.5,6.23076923076923,6.65384615384615,8.19230769230769,6.76923076923077,6.76923076923077
objrel_nounpp_______SPS,9.41717205332574,8.32984808326435,9.22602770144517,5.59291012686735,6.46018692381708,8.64080518602639,6.48148148148148,6.81481481481481,6.81481481481481,8.11111111111111,6.88888888888889,6.77777777777778
objrel_nounpp_______SSP,9.36294101264618,9.15030357101077,7.17830263941204,6.5564737654311,7.30300790841434,9.26359477745826,6.67741935483871,7.35483870967742,7.45161290322581,6.93548387096774,6.54838709677419,6.61290322580645
objrel_nounpp_______SSS,9.55823725464212,9.7506159474367,9.51047046876997,6.89896452746872,7.06558720812196,8.54784439079789,6.76666666666667,6.43333333333333,6.46666666666667,6.5,7.06666666666667,6.46666666666667
objrel_that_________PP,8.04391599414176,8.73762294798002,5.4481640255159,6.58457152779823,9.01456145318886,NaN,7.06451612903226,6.35483870967742,8.48387096774194,7.48387096774194,6.41935483870968,NaN
objrel_that_________PS,7.75669168952155,9.83236823654089,7.21520222421729,5.95586114459095,8.83735206245922,NaN,7,6.7741935483871,7,7.64516129032258,6.83870967741935,NaN
objrel_that_________SP,9.26378370259439,7.34747405818401,5.35468872482546,6.25597040265938,9.12427808359158,NaN,6.78571428571429,6.82142857142857,8.42857142857143,7.07142857142857,6.5,NaN
objrel_that_________SS,9.41709933066042,9.55140925556528,6.39204992160134,7.15123781903273,9.53401676417223,NaN,6.56666666666667,6.76666666666667,7.5,6.7,6.6,NaN
